,Name,2017 NAICS Code,Emissions (tCO2e),2017 NAICS Title,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,PARENT EMISSIONS AMT,symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,date,type,iexId,region,currency,isEnabled,figi,cik,lei,marketcap,week52high,week52low,week52highSplitAdjustOnly,week52lowSplitAdjustOnly,week52change,sharesOutstanding,float,avg10Volume,avg30Volume,day200MovingAvg,day50MovingAvg,employees,ttmEPS,ttmDividendRate,dividendYield,nextDividendDate,exDividendDate,nextEarningsDate,peRatio,beta,maxChangePercent,year5ChangePercent,year2ChangePercent,year1ChangePercent,ytdChangePercent,month6ChangePercent,month3ChangePercent,month1ChangePercent,day30ChangePercent,day5ChangePercent
ALCOA CORP,ALCOA WORLD ALUMINA ATLANTIC,331313,14102.448,Alumina Refining and Primary Aluminum Production ,110000606997.0,2020,ALCOA WORLD ALUMINA ATLANTIC,,POINT COMFORT,TX,77978,CALHOUN COUNTY,201 Isabella Street,Pittsburgh,PA,15212,60.0,331313,8461.4688,AA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4238333734532D52,US,USD,True,BBG00B3T3HD3,1675149.0,549300T12EZ1F6PWWU29,16184423579,98.09,30.89,98.09,31.0,1.4714823543987992,184395848,0,4976577,5865797,62.81,85.32,12900,2.26,0.199889776929074,0.002277427104125,,2022-03-07,,37.72592908848485,1.156159274896994,4.176888322657512,1.841519793838463,11.129294381028716,1.6814492107184642,0.47477160951233505,0.57247972366495,0.43129008533600305,0.19074752408085702,0.16051831283882,0.043018419489007004
ALCOA CORP,ALCOA WORLD ALUMINA ATLANTIC,331313,14102.448,Alumina Refining and Primary Aluminum Production ,110000606997.0,2020,ALCOA WORLD ALUMINA ATLANTIC,,POINT COMFORT,TX,77978,CALHOUN COUNTY,STATE HIGHWAY 35,Pt Comfort,TX,77978,40.0,331313,5640.979200000001,AA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4238333734532D52,US,USD,True,BBG00B3T3HD3,1675149.0,549300T12EZ1F6PWWU29,16184423579,98.09,30.89,98.09,31.0,1.4714823543987992,184395848,0,4976577,5865797,62.81,85.32,12900,2.26,0.199889776929074,0.002277427104125,,2022-03-07,,37.72592908848485,1.156159274896994,4.176888322657512,1.841519793838463,11.129294381028716,1.6814492107184642,0.47477160951233505,0.57247972366495,0.43129008533600305,0.19074752408085702,0.16051831283882,0.043018419489007004
ALCOA CORP,ALCOA INTALCO WORKS,331313,595364.455,Alumina Refining and Primary Aluminum Production ,110040947820.0,2020,ALCOA INTALCO WORKS,4050 MOUNTAIN VIEW RD.,FERNDALE,WA,98248,WHATCOM COUNTY,201 Isabella St.,Pittsburgh,PA,15212-5858,100.0,331313,595364.455,AA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4238333734532D52,US,USD,True,BBG00B3T3HD3,1675149.0,549300T12EZ1F6PWWU29,16184423579,98.09,30.89,98.09,31.0,1.4714823543987992,184395848,0,4976577,5865797,62.81,85.32,12900,2.26,0.199889776929074,0.002277427104125,,2022-03-07,,37.72592908848485,1.156159274896994,4.176888322657512,1.841519793838463,11.129294381028716,1.6814492107184642,0.47477160951233505,0.57247972366495,0.43129008533600305,0.19074752408085702,0.16051831283882,0.043018419489007004
ALCOA CORP,LAKE CHARLES CARBON CO,324199,217935.328,All Other Petroleum and Coal Products Manufacturing ,110000449499.0,2020,LAKE CHARLES CARBON CO,4040 West Tank Farm ROAD,LAKE CHARLES,LA,70605,CALCASIEU PARISH,201 Isabella St,Pittsburgh,PA,15212-5858,100.0,324199,217935.328,AA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4238333734532D52,US,USD,True,BBG00B3T3HD3,1675149.0,549300T12EZ1F6PWWU29,16184423579,98.09,30.89,98.09,31.0,1.4714823543987992,184395848,0,4976577,5865797,62.81,85.32,12900,2.26,0.199889776929074,0.002277427104125,,2022-03-07,,37.72592908848485,1.156159274896994,4.176888322657512,1.841519793838463,11.129294381028716,1.6814492107184642,0.47477160951233505,0.57247972366495,0.43129008533600305,0.19074752408085702,0.16051831283882,0.043018419489007004
ALCOA CORP,Reynolds Metals Company Gum Springs Plant,562211,41987.892,Hazardous Waste Treatment and Disposal ,110000608771.0,2020,Reynolds Metals Company Gum Springs Plant,500 East Reynolds Road,Arkadelphia,AR,71923,CLARK COUNTY,201 Isabella Street,Pittsburgh,PA,15212,100.0,562211,41987.892,AA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4238333734532D52,US,USD,True,BBG00B3T3HD3,1675149.0,549300T12EZ1F6PWWU29,16184423579,98.09,30.89,98.09,31.0,1.4714823543987992,184395848,0,4976577,5865797,62.81,85.32,12900,2.26,0.199889776929074,0.002277427104125,,2022-03-07,,37.72592908848485,1.156159274896994,4.176888322657512,1.841519793838463,11.129294381028716,1.6814492107184642,0.47477160951233505,0.57247972366495,0.43129008533600305,0.19074752408085702,0.16051831283882,0.043018419489007004
ALCOA CORP,Alcoa USA Corp.,331313,294649.17,Alumina Refining and Primary Aluminum Production ,110070069670.0,2020,Alcoa USA Corp.,1814 State Highway 131,Massena,NY,13662,ST. LAWRENCE COUNTY,201 Isabella St.,Pittsburgh,PA,15212,100.0,331313,294649.17,AA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4238333734532D52,US,USD,True,BBG00B3T3HD3,1675149.0,549300T12EZ1F6PWWU29,16184423579,98.09,30.89,98.09,31.0,1.4714823543987992,184395848,0,4976577,5865797,62.81,85.32,12900,2.26,0.199889776929074,0.002277427104125,,2022-03-07,,37.72592908848485,1.156159274896994,4.176888322657512,1.841519793838463,11.129294381028716,1.6814492107184642,0.47477160951233505,0.57247972366495,0.43129008533600305,0.19074752408085702,0.16051831283882,0.043018419489007004
ALLEGHENY TECHNOLOGIES INC,"JESSOP STEEL, LLC WASHINGTON FACILITY",331110,29540.188,Iron and Steel Mills and Ferroalloy Manufacturing ,110000329797.0,2020,"JESSOP STEEL, LLC WASHINGTON FACILITY",500 GREEN STREET,WASHINGTON,PA,15301,WASHINGTON COUNTY,1000 Six PPG Place,Pittsburgh,PA,15222,100.0,331110,29540.188,ATI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C374D3739512D52,US,USD,True,BBG000LC1FS4,1018963.0,ZW1LRE7C3H17O2ZN9B45,3865487558,30.74,13.85,30.74,13.85,0.37551020408163205,127447661,0,1664270,1901299,20.12,26.93,6500,-0.30060000000000003,0.0,0.0,,,2022-05-04,-101.19077377303664,0.9253375480863141,-0.6083166526764381,0.7695449241540251,3.049399198931908,0.36806495263870004,0.9039548022598861,0.7643979057591621,0.48603625673689305,0.150170648464163,0.151480637813211,0.106126914660831
ALLEGHENY TECHNOLOGIES INC,BRACKENRIDGE PLANT,331110,120280.912,Iron and Steel Mills and Ferroalloy Manufacturing ,110000328734.0,2020,BRACKENRIDGE PLANT,100 RIVER ROAD,BRACKENRIDGE,PA,15014,ALLEGHENY COUNTY,1000 Six PPG Place,Pittsburgh,PA,15222,100.0,331110,120280.912,ATI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C374D3739512D52,US,USD,True,BBG000LC1FS4,1018963.0,ZW1LRE7C3H17O2ZN9B45,3865487558,30.74,13.85,30.74,13.85,0.37551020408163205,127447661,0,1664270,1901299,20.12,26.93,6500,-0.30060000000000003,0.0,0.0,,,2022-05-04,-101.19077377303664,0.9253375480863141,-0.6083166526764381,0.7695449241540251,3.049399198931908,0.36806495263870004,0.9039548022598861,0.7643979057591621,0.48603625673689305,0.150170648464163,0.151480637813211,0.106126914660831
ALLEGHENY TECHNOLOGIES INC,VANDERGRIFT FACILITY,331110,40648.796,Iron and Steel Mills and Ferroalloy Manufacturing ,110014402306.0,2020,VANDERGRIFT FACILITY,130 LINCOLN AVENUE,VANDERGRIFT,PA,15690,WESTMORELAND COUNTY,1000 Six PPG Place,Pittsburgh,PA,15222,100.0,331110,40648.796,ATI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C374D3739512D52,US,USD,True,BBG000LC1FS4,1018963.0,ZW1LRE7C3H17O2ZN9B45,3865487558,30.74,13.85,30.74,13.85,0.37551020408163205,127447661,0,1664270,1901299,20.12,26.93,6500,-0.30060000000000003,0.0,0.0,,,2022-05-04,-101.19077377303664,0.9253375480863141,-0.6083166526764381,0.7695449241540251,3.049399198931908,0.36806495263870004,0.9039548022598861,0.7643979057591621,0.48603625673689305,0.150170648464163,0.151480637813211,0.106126914660831
ALLEGHENY TECHNOLOGIES INC,ATI LADISH LLC,332112,55745.44,Nonferrous Forging ,110000417228.0,2020,ATI LADISH LLC,5481 S PACKARD AVE,CUDAHY,WI,53110,MILWAUKEE COUNTY,1000 Six PPG Place Ste. 1000,Pittsburgh,PA,15222,100.0,332112,55745.44,ATI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C374D3739512D52,US,USD,True,BBG000LC1FS4,1018963.0,ZW1LRE7C3H17O2ZN9B45,3865487558,30.74,13.85,30.74,13.85,0.37551020408163205,127447661,0,1664270,1901299,20.12,26.93,6500,-0.30060000000000003,0.0,0.0,,,2022-05-04,-101.19077377303664,0.9253375480863141,-0.6083166526764381,0.7695449241540251,3.049399198931908,0.36806495263870004,0.9039548022598861,0.7643979057591621,0.48603625673689305,0.150170648464163,0.151480637813211,0.106126914660831
ALLEGHENY TECHNOLOGIES INC,ATI Allvac - Monroe,331492,42349.728,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",110000348589.0,2020,ATI Allvac - Monroe,2020 ASHCRAFT AVENUE,MONROE,NC,28110,UNION COUNTY,1000 Six PPG Place,Pittsburgh,PA,15222,100.0,331492,42349.72800000001,ATI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C374D3739512D52,US,USD,True,BBG000LC1FS4,1018963.0,ZW1LRE7C3H17O2ZN9B45,3865487558,30.74,13.85,30.74,13.85,0.37551020408163205,127447661,0,1664270,1901299,20.12,26.93,6500,-0.30060000000000003,0.0,0.0,,,2022-05-04,-101.19077377303664,0.9253375480863141,-0.6083166526764381,0.7695449241540251,3.049399198931908,0.36806495263870004,0.9039548022598861,0.7643979057591621,0.48603625673689305,0.150170648464163,0.151480637813211,0.106126914660831
ALLEGHENY TECHNOLOGIES INC,Jewel Acquisition - Louisville Facility,331110,37304.06,Iron and Steel Mills and Ferroalloy Manufacturing ,110042023495.0,2020,Jewel Acquisition - Louisville Facility,1500 West Main Street ,Louisville,OH,44641,STARK COUNTY,1000 Six PPG Place,Pittsburgh,PA,15222,100.0,331110,37304.06,ATI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C374D3739512D52,US,USD,True,BBG000LC1FS4,1018963.0,ZW1LRE7C3H17O2ZN9B45,3865487558,30.74,13.85,30.74,13.85,0.37551020408163205,127447661,0,1664270,1901299,20.12,26.93,6500,-0.30060000000000003,0.0,0.0,,,2022-05-04,-101.19077377303664,0.9253375480863141,-0.6083166526764381,0.7695449241540251,3.049399198931908,0.36806495263870004,0.9039548022598861,0.7643979057591621,0.48603625673689305,0.150170648464163,0.151480637813211,0.106126914660831
ALLISON TRANSMISSION HOLDINGS INC,"ALLISON TRANSMISSION, Inc.",336350,22579.148,Motor Vehicle Transmission and Power Train Parts Manufacturing,110000396946.0,2020,"ALLISON TRANSMISSION, Inc.",One Allison Way,INDIANAPOLIS,IN,46222,MARION COUNTY,One Allison Way,Indianapolis,IN,46222,100.0,336350,22579.148,ALSN,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4434565A4E472D52,US,USD,True,BBG001KY3845,1411207.0,529900RP7DJ882LI9T83,3412687509,45.5,32.21,46.4,32.55,-0.19973779804987302,97061647,0,965927,798305,37.03,38.75,3300,4.13,0.7741665117389991,0.022018387705887002,,2022-03-04,2022-04-27,7.721012462714932,0.549720974400124,0.7766907870800821,0.11762742573785301,0.08942857674026601,-0.20699540120484303,-0.027711333136073,0.011920865255656,-0.14008158952836502,-0.08888313034464901,-0.10851926977687601,-0.007620660457239001
ALTO INGREDIENTS INC,"Alto Pekin, LLC",325193,266059.228,Ethyl Alcohol Manufacturing ,110000438036.0,2020,"Alto Pekin, LLC",1300 SOUTH 2ND STREET,PEKIN,IL,61554,Tazewell,1300 South 2nd Street,Pekin,IL,61554,100.0,325193,266059.228,ALTO,XNAS,,Nasdaq All Markets,XNCM,Nasdaq Capital Market,2022-04-16,cs,,US,USD,True,BBG000K4WSD7,778164.0,549300TI77MKE21DLE34,521983740,7.37,4.39,7.37,4.39,0.43319838056680104,73726517,0,2533665,2759341,5.51,6.28,370,0.6123000000000001,0.0,0.0,,,2022-05-11,11.805047284418704,1.365192349120506,-0.9693307342430151,0.018705035971223003,22.935091277890468,0.40476190476190405,0.471933471933472,0.26881720430107503,0.369439071566731,0.29433272394881105,0.291970802919707,0.071104387291981
ALTO INGREDIENTS INC,"Alto ICP, LLC",312140,170977.108,Distilleries ,110015379455.0,2020,"Alto ICP, LLC",1301 S FRONT ST,PEKIN,IL,61554,TAZEWELL COUNTY,1300 South 2nd Street,Pekin,IL,61554,100.0,312140,170977.108,ALTO,XNAS,,Nasdaq All Markets,XNCM,Nasdaq Capital Market,2022-04-16,cs,,US,USD,True,BBG000K4WSD7,778164.0,549300TI77MKE21DLE34,521983740,7.37,4.39,7.37,4.39,0.43319838056680104,73726517,0,2533665,2759341,5.51,6.28,370,0.6123000000000001,0.0,0.0,,,2022-05-11,11.805047284418704,1.365192349120506,-0.9693307342430151,0.018705035971223003,22.935091277890468,0.40476190476190405,0.471933471933472,0.26881720430107503,0.369439071566731,0.29433272394881105,0.291970802919707,0.071104387291981
AMERICAN AIRLINES GROUP INC,AMERICAN AIRLINES,481111,40397.118,Scheduled Passenger Air Transportation ,110010495384.0,2020,AMERICAN AIRLINES,3800 NORTH MINGO ROAD,TULSA,OK,74116,TULSA COUNTY,"1 Skyview Dr, MD 8B101",Fort Worth,TX,76155,100.0,481111,40397.118,AAL,XNAS,,Nasdaq All Markets,XNGS,Nasdaq Ngs Global Select Market,2022-04-16,cs,IEX_4353464A535A2D52,US,USD,True,BBG005P7Q881,6201.0,IWUQB36BXD6OWD6X4T14,12334042223,26.04,12.44,26.04,12.44,-0.13753971856559202,649160117,0,42445546,37921412,18.12,16.48,2018,-3.09,0.0,0.0,,,2022-04-21,-6.188681496738585,1.6878063241973211,-0.182387771963646,-0.5474434125624941,0.545972335231895,-0.14143696339810202,0.057906458797327004,-0.049049049049049005,0.027582477014602,0.22029543994861903,0.153612629022465,0.14526823387582802
ANTERO RESOURCES CORP,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),211120,366201.372,Crude Petroleum Extraction ,110012364967.0,2020,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1615 Wynkoop Street,Denver,CO,80202,DENVER COUNTY,1615 Wynkoop Street,Denver,CO,80202,100.0,211120,366201.372,AR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_54394C4B36462D52,US,USD,True,BBG000PW5VX1,1433270.0,APVBKPOULHUX7YZLKU17,11075450118,35.86,8.81,35.86,8.81,2.769230769230769,313929992,0,6582967,7159838,21.5,28.52,522,-0.6065,0.0,0.0,,,2022-04-27,-59.25901218176662,0.9907481695665591,-0.32166890982503304,0.599274705349048,24.56521739130435,2.705882352941176,1.016,0.8009188361408881,0.761357963055416,0.40389972144846803,0.405017921146953,0.064574532287266
ANTERO RESOURCES CORP,Antero Resources - 160 - Appalachian Basin (Utica),211120,32302.424,Crude Petroleum Extraction ,,2020,Antero Resources - 160 - Appalachian Basin (Utica),1615 Wynkoop Street,Denver,CO,80202,,1615 Wynkoop Street,Denver,CO,80202,100.0,211120,32302.424,AR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_54394C4B36462D52,US,USD,True,BBG000PW5VX1,1433270.0,APVBKPOULHUX7YZLKU17,11075450118,35.86,8.81,35.86,8.81,2.769230769230769,313929992,0,6582967,7159838,21.5,28.52,522,-0.6065,0.0,0.0,,,2022-04-27,-59.25901218176662,0.9907481695665591,-0.32166890982503304,0.599274705349048,24.56521739130435,2.705882352941176,1.016,0.8009188361408881,0.761357963055416,0.40389972144846803,0.405017921146953,0.064574532287266
