VTV: Vanguard Value ETF
Inception Date: 2004-01-26
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	103418000
Shares Outstanding: 695949000
Expense Ratio: 0.04%
Tracks This Index: CRSP U.S. Large Cap Value Index
ETF Database Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Whirlpool Corporation,WHR,0.07%
"PulteGroup, Inc.",PHM,0.07%
"C.H. Robinson Worldwide, Inc.",CHRW,0.07%
"Fidelity National Financial, Inc. - FNF Group",FNF,0.07%
Cboe Global Markets Inc,CBOE,0.07%
"Everest Re Group, Ltd.",RE,0.07%
"Hasbro, Inc.",HAS,0.07%
WestRock Company,WRK,0.07%
"Advance Auto Parts, Inc.",AAP,0.07%
Fox Corporation Class A,FOXA,0.07%
"Viatris, Inc.",VTRS,0.07%
Royalty Pharma Plc Class A,RPRX,0.07%
"DENTSPLY SIRONA, Inc.",XRAY,0.07%
"Citrix Systems, Inc.",CTXS,0.07%
"Elanco Animal Health, Inc.",ELAN,0.07%
W. R. Berkley Corporation,WRB,0.07%
"Henry Schein, Inc.",HSIC,0.07%
STERIS Plc,STE,0.07%
"Martin Marietta Materials, Inc.",MLM,0.07%
Loews Corporation,L,0.07%
"Equitable Holdings, Inc.",EQH,0.07%
Albemarle Corporation,ALB,0.06%
Snap-on Incorporated,SNA,0.06%
LKQ Corporation,LKQ,0.06%
"Lumen Technologies, Inc.",LUMN,0.06%
News Corporation Class A,NWSA,0.06%
Vistra Corp.,VST,0.06%
NiSource Inc,NI,0.06%
"Annaly Capital Management, Inc.",NLY,0.06%
"Universal Health Services, Inc. Class B",UHS,0.06%
"CF Industries Holdings, Inc.",CF,0.05%
BorgWarner Inc.,BWA,0.05%
"Franklin Resources, Inc.",BEN,0.05%
"UDR, Inc.",UDR,0.05%
"Discovery, Inc. Class C",DISCK,0.05%
Campbell Soup Company,CPB,0.05%
UiPath Inc Class A,PATH,0.05%
Markel Corporation,MKL,0.05%
"Akamai Technologies, Inc.",AKAM,0.05%
Las Vegas Sands Corp.,LVS,0.05%
"FLEETCOR Technologies, Inc.",FLT,0.05%
"Bath & Body Works, Inc.",BBWI,0.04%
DaVita Inc.,DVA,0.04%
"Host Hotels & Resorts, Inc.",HST,0.04%
Liberty Media Corp. Series C Liberty SiriusXM,LSXMK,0.04%
"Leidos Holdings, Inc.",LDOS,0.04%
Teleflex Incorporated,TFX,0.04%
"Interpublic Group of Companies, Inc.",IPG,0.04%
DISH Network Corporation Class A,DISH,0.04%
"Discovery, Inc. Class A",DISCA,0.03%
Regency Centers Corporation,REG,0.03%
"American Airlines Group, Inc.",AAL,0.03%
"F5, Inc.",FFIV,0.03%
Hubbell Incorporated Class B,HUBB,0.03%
Lincoln National Corporation,LNC,0.03%
Fox Corporation Class B,FOX,0.03%
Molson Coors Beverage Company Class B,TAP,0.03%
Lear Corporation,LEA,0.03%
"Lucid Group, Inc.",LCID,0.03%
Globe Life Inc.,GL,0.03%
"Juniper Networks, Inc.",JNPR,0.03%
"Avangrid, Inc.",AGR,0.02%
Western Union Company,WU,0.02%
Liberty Media Corp. Series A Liberty SiriusXM,LSXMA,0.02%
"Interactive Brokers Group, Inc. Class A",IBKR,0.02%
GameStop Corp. Class A,GME,0.02%
"Mohawk Industries, Inc.",MHK,0.02%
Alleghany Corporation,Y,0.02%
Vanguard Cash Management Market Liquidity Fund,Other,0.01%
Westlake Corporation,WLK,0.01%
"Lamb Weston Holdings, Inc.",LW,0.01%
Rocket Companies Inc Class A,RKT,0.01%
"GreenSky, Inc. Class A",GSKY,0.0%
News Corporation Class B,NWS,0.0%
"Marqeta, Inc. Class A",MQ,0.0%
"Aurora Innovation, Inc. Class A",AUR,0.0%
Paramount Global Class A,PARAA,0.0%
Lennar Corporation Class B,LEN.B,0.0%
UWM Holdings Corporation Class A,UWMC,0.0%
"Altice USA, Inc. Class A",ATUS,0.0%
Ginkgo Bioworks Holdings Inc Class A,DNA,0.0%
