Parent,Subsidiary,ticker
AVANGRID INC,Southern Connecticut Gas Company,AGR
AVANGRID INC,Connecticut Natural Gas Company,AGR
AVANGRID INC,Rochester Gas and Electric - Subpart DD,AGR
AVISTA CORP,Colstrip,AVA
AVISTA CORP,Coyote Springs,AVA
AVISTA CORP,Rathdrum Combustion Turbine Project,AVA
AVISTA CORP,Avista Corporation-WA,AVA
AVISTA CORP,Avista Corporation,AVA
AVISTA CORP,Kettle Falls Generating Station,AVA
AVISTA CORP,Boulder Park Generating Station,AVA
AVISTA CORP,Jackson Prairie Natural Gas Storage,AVA
BARRICK GOLD CORP,TS Power Plant,GOLD
BARRICK GOLD CORP,Nevada Gold Mines LLC - Goldstrike,GOLD
BARRICK GOLD CORP,WESTERN 102 POWER PLANT,GOLD
BARRICK GOLD CORP,NEVADA GOLD MINES CARLIN SOUTH AREA,GOLD
BATTALION OIL CORP,"Halcon Operating Co., Inc. 430 Permian Basin",BATL
BERKSHIRE HATHAWAY INC,Chehalis Generation Facility,BRK.A
BERKSHIRE HATHAWAY INC,Chuck Lenzie Generating Station,BRK.A
BERKSHIRE HATHAWAY INC,Greater Des Moines Energy Center,BRK.A
BERKSHIRE HATHAWAY INC,Walter M. Higgins III Generating Station,BRK.A
BERKSHIRE HATHAWAY INC,Silverhawk,BRK.A
BERKSHIRE HATHAWAY INC,C. R. Wing Cogeneration Plant,BRK.A
BERKSHIRE HATHAWAY INC,Currant Creek Power Project,BRK.A
BERKSHIRE HATHAWAY INC,Lake Side Power Plant,BRK.A
BERKSHIRE HATHAWAY INC,Sycamore Combustion Turbine,BRK.A
BERKSHIRE HATHAWAY INC,Electrifarm,BRK.A
BERKSHIRE HATHAWAY INC,LAS VEGAS GENERATING STATION,BRK.A
BERKSHIRE HATHAWAY INC,LUBRIZOL CORPORATION,BRK.A
BERKSHIRE HATHAWAY INC,LUBRIZOL BAYPORT PLANT,BRK.A
BERKSHIRE HATHAWAY INC,LUBRIZOL DEER PARK PLANT,BRK.A
BERKSHIRE HATHAWAY INC,Clark,BRK.A
BERKSHIRE HATHAWAY INC,Dave Johnston,BRK.A
BERKSHIRE HATHAWAY INC,Naughton,BRK.A
BERKSHIRE HATHAWAY INC,Colstrip,BRK.A
BERKSHIRE HATHAWAY INC,Wyodak,BRK.A
BERKSHIRE HATHAWAY INC,Hunter,BRK.A
BERKSHIRE HATHAWAY INC,Ottumwa,BRK.A
BERKSHIRE HATHAWAY INC,Louisa,BRK.A
BERKSHIRE HATHAWAY INC,Pleasant Hill Energy Center,BRK.A
BERKSHIRE HATHAWAY INC,George Neal South,BRK.A
BERKSHIRE HATHAWAY INC,Jim Bridger,BRK.A
BERKSHIRE HATHAWAY INC,Huntington,BRK.A
BERKSHIRE HATHAWAY INC,North Valmy,BRK.A
BERKSHIRE HATHAWAY INC,"Saranac Power Partners, LP",BRK.A
BERKSHIRE HATHAWAY INC,Cordova Energy Company,BRK.A
BERKSHIRE HATHAWAY INC,Cholla,BRK.A
BERKSHIRE HATHAWAY INC,Hayden,BRK.A
BERKSHIRE HATHAWAY INC,Riverside (1081),BRK.A
BERKSHIRE HATHAWAY INC,Walter Scott Jr. Energy Center,BRK.A
BERKSHIRE HATHAWAY INC,George Neal North,BRK.A
BERKSHIRE HATHAWAY INC,Wrenshall LNG Storage,BRK.A
BERKSHIRE HATHAWAY INC,Sunray Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Beaver Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Beatrice Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,MidAmerican Energy Local Gas Distribution Company,BRK.A
BERKSHIRE HATHAWAY INC,NORTHERN NATURAL GAS CO-OGDEN COMPRESSOR,BRK.A
BERKSHIRE HATHAWAY INC,NORTHERN NATURAL GAS COMPANY-PALMYRA,BRK.A
BERKSHIRE HATHAWAY INC,KERN RIVER GAS TRANSMISSION COMPANY: VEYO COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,KERN RIVER GAS TRANSMISSION COMPANY: MUDDY CREEK COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,KERN RIVER GAS TRANSMISSION COMPANY: GOODSPRINGS COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,KERN RIVER GAS TRANSMISSION COMPANY: DRY LAKE COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,Redfield UGS and Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,JOHNS MANVILLE,BRK.A
BERKSHIRE HATHAWAY INC,Johns Manville,BRK.A
BERKSHIRE HATHAWAY INC,JOHNS MANVILLE INTERNATIONAL INC PLANT NO 8,BRK.A
BERKSHIRE HATHAWAY INC,JOHNS MANVILLE PLANT NO 2,BRK.A
BERKSHIRE HATHAWAY INC,Johns Manville,BRK.A
BERKSHIRE HATHAWAY INC,Wyman-Gordon Company,BRK.A
BERKSHIRE HATHAWAY INC,TITANIUM METALS CORP TORONTO PLANT,BRK.A
BERKSHIRE HATHAWAY INC,WYMAN GORDON FORGINGS,BRK.A
BERKSHIRE HATHAWAY INC,CARLTON FORGE WORKS,BRK.A
BERKSHIRE HATHAWAY INC,SHAW INDUSTRIES GROUP INC PLANT 4,BRK.A
BERKSHIRE HATHAWAY INC,ACME BRICK CO ELGIN PLANT,BRK.A
BERKSHIRE HATHAWAY INC,KERN RIVER GAS TRANSMISSION COMPANY: SALT LAKE COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,FILLMORE COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,KERN RIVER GAS TRANSMISSION CO: COYOTE CREEK COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,PCC STRUCTURALS INC.,BRK.A
BERKSHIRE HATHAWAY INC,Cunningham Underground Storage & Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Mullinville Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Waterloo Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,KERN RIVER GAS TRANSMISSION COMPANY: MILFORD COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,ELBERTA COMPRESSOR STATION,BRK.A
BERKSHIRE HATHAWAY INC,MidAmerican Energy Company Local Natural Gas Distribution Company - Illinois,BRK.A
BERKSHIRE HATHAWAY INC,MidAmerican Energy Company Local Natural Gas Distribution Company - Nebraska,BRK.A
BERKSHIRE HATHAWAY INC,MidAmerican Energy Company Local Natural Gas Distribution Company - South Dakota,BRK.A
BERKSHIRE HATHAWAY INC,NORTHERN NATURAL GAS-CLIFTON,BRK.A
BERKSHIRE HATHAWAY INC,Harry Allen,BRK.A
BERKSHIRE HATHAWAY INC,Gadsby,BRK.A
BERKSHIRE HATHAWAY INC,Bushton Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Tracy,BRK.A
BERKSHIRE HATHAWAY INC,Fort Churchill,BRK.A
BERKSHIRE HATHAWAY INC,HUNTINGTON ALLOYS CORPORATION,BRK.A
BERKSHIRE HATHAWAY INC,SHAW INDUSTRIES GROUP INC. P LANT 8S,BRK.A
BERKSHIRE HATHAWAY INC,JOHNS MANVILLE,BRK.A
BERKSHIRE HATHAWAY INC,YUMA COGENERATION ASSOCIATES,BRK.A
BERKSHIRE HATHAWAY INC,Nevada Power d/b/a NV Energy Transmission,BRK.A
BERKSHIRE HATHAWAY INC,PacifiCorp (T&D System),BRK.A
BERKSHIRE HATHAWAY INC,MidAmerican Energy Company,BRK.A
BERKSHIRE HATHAWAY INC,Sierra Pacific Power Co d/b/a NV Energy Transmission,BRK.A
BERKSHIRE HATHAWAY INC,"Farmington Compressor Station (Farmington, MN)",BRK.A
BERKSHIRE HATHAWAY INC,"Faribault Compressor Station (Faribault, MN)",BRK.A
BERKSHIRE HATHAWAY INC,NORTHERN NATURAL GAS - BROWNFIELD,BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas - Albert Lea,BRK.A
BERKSHIRE HATHAWAY INC,Johns Manville,BRK.A
BERKSHIRE HATHAWAY INC,Acme Brick - Denton Plant,BRK.A
BERKSHIRE HATHAWAY INC,Shultz Steel Company,BRK.A
BERKSHIRE HATHAWAY INC,Sun Peak Generating Station,BRK.A
BERKSHIRE HATHAWAY INC,Oakland Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Macksville Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas Company - Seminole,BRK.A
BERKSHIRE HATHAWAY INC,Acme Brick - Texas Clay Plants,BRK.A
BERKSHIRE HATHAWAY INC,Titanium Metals Corporation,BRK.A
BERKSHIRE HATHAWAY INC,"Shaw Industries Group, Inc., Plant 80",BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas - Transmission Pipeline,BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas - Claude Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas - Pampa Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas - Plainview Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas - Ventura Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Northern Natural Gas - Tescott Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Bakersfield Compressor Station,BRK.A
BERKSHIRE HATHAWAY INC,Gaines County Crossover Compressor Station,BRK.A
BERRY CORP,Berry Petroleum Company - San Joaquin Basin 745,BRY
BERRY CORP,Berry Petroleum Company 585 Piceance Basin Production Segment,BRY
BERRY CORP,Berry Petroleum Company - Uinta Basin 575,BRY
BERRY CORP,Berry Petroleum Company - Los Angeles Basin 760,BRY
BERRY CORP,Berry Petroleum Company 575 Uinta Basin Gathering and Boosting,BRY
BERRY GLOBAL GROUP INC,Fiberweb,BERY
BIOGEN INC,BIOGEN INC,BIIB
BLACK HILLS CORP,Lange,BKH
BLACK HILLS CORP,Wygen I,BKH
BLACK HILLS CORP,Wygen II,BKH
BLACK HILLS CORP,Wygen III,BKH
BLACK HILLS CORP,Pueblo Airport Generating Station,BKH
BLACK HILLS CORP,Neil Simpson II (CT2),BKH
BLACK HILLS CORP,Wyodak,BKH
BLACK HILLS CORP,Neil Simpson II,BKH
BLACK HILLS CORP,"Black Hills Nebraska Gas, LLC. dba Black Hills Energy",BKH
BLACK HILLS CORP,"Black Hills Colorado Gas, Inc. dba Black Hills Energy",BKH
BLACK HILLS CORP,Black Hills Energy Arkansas LLC.,BKH
BLACK HILLS CORP,Cheyenne Prairie Generating Station,BKH
BLACK HILLS CORP,Black Hills Energy Arkansas LLC_345 Arkoma Basin_GB,BKH
BOISE CASCADE CO,Boise Cascade Wood Products - Florien Operations,BCC
BOISE CASCADE CO,Boise Cascade Wood Products - Oakdale Operations,BCC
BRISTOL-MYERS SQUIBB CO,BRISTOL MYERS SQUIBB INC,BMY
BRISTOL-MYERS SQUIBB CO,E R SQUIBB & SONS LLC,BMY
BROADCOM INC,Avago Technologies,AVGO
BROWN-FORMAN CORP,BROWN-FORMAN DISTILLERY (FORMERLY EARLY TIMES DISTILLERS CO),BF.A
BROWN-FORMAN CORP,"Jack Daniel Distillery, Lem Motlow Prop., Inc.",BF.A
BRUNSWICK CORP,MERCURY MARINE FOND DU LAC COMPLEX,BC
CABOT CORP,PAMPA PLANT,CBT
CABOT CORP,CABOT CORP - VILLE PLATTE PLANT,CBT
CABOT CORP,CABOT NORIT AMERICAS INC,CBT
CABOT CORP,CABOT NORIT AMERICAS INC,CBT
CABOT CORP,CABOT CORP - CANAL PLANT,CBT
CALIFORNIA RESOURCES CORP,"California Resources Elk Hills, LLC - Gas Processing and Power Generation",CRC
CALIFORNIA RESOURCES CORP,California Resources Production Corporation – Santa Clara Valley Gas Plant,CRC
CALIFORNIA RESOURCES CORP,California Resources Production Corporation – San Joaquin Valley Basin 745,CRC
CALIFORNIA RESOURCES CORP,California Resources Production Corporation – Sacramento Valley Basin 730,CRC
CALIFORNIA RESOURCES CORP,California Resources Production Corporation- LA Basin Gathering and Boosting,CRC
CALIFORNIA RESOURCES CORP,California Resources Production Corporation- Ventura Basin Gathering and Boosting,CRC
CALIFORNIA RESOURCES CORP,CRPC - San Joaquin Valley Gathering and Boosting,CRC
CALIFORNIA RESOURCES CORP,CRPC – Sacramento Valley Basin Gathering and Boosting,CRC
CALLON PETROLEUM CO,Permian Basin Operations,CPE
CALLON PETROLEUM CO,Permian Basin Gathering and Boosting,CPE
CAMPBELL SOUP CO,"CAMPBELL SOUP SUPPLY COMPANY, LLC DBA DIXON CANNING CORP.",CPB
CAMPBELL SOUP CO,CAMPBELL SOUP COMPANY (0335010105),CPB
CAMPBELL SOUP CO,CAMPBELL SOUP SUPPLY COMPANY,CPB
CAMPBELL SOUP CO,PARIS PLANT,CPB
CARPENTER TECHNOLOGY CORP,CARPENTER TECHNOLOGY,CRS
CARPENTER TECHNOLOGY CORP,Carpenter Technology - Latrobe Operations,CRS
CATERPILLAR INC,SOLAR TURBINES INCORPORATED,CAT
CATERPILLAR INC,Caterpillar Inc. - East Peoria Plant,CAT
CATERPILLAR INC,CATERPILLAR INCORPORATED,CAT
CATERPILLAR INC,PROGRESS RAIL LOCOMOTIVE INC,CAT
CATERPILLAR INC,CATERPILLAR INC.-MAPLETON,CAT
CATERPILLAR INC,"Advanced Tri-Gen Power Systems, LLC",CAT
CATERPILLAR INC,Dallas Overhaul Center,CAT
CELANESE CORP,Celanese Acetate LLC - Manufacturing Processes,CE
CELANESE CORP,CLEAR LAKE PLANT,CE
CELANESE CORP,TICONA POLYMERS INCORPORATED,CE
CENTENNIAL RESOURCE DEVELOPMENT INC,"Centennial Resource Production, LLC",CDEV
CENTERPOINT ENERGY INC,A B Brown Generating Station,CNP
CENTERPOINT ENERGY INC,F B Culley Generating Station,CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Arkla (Louisiana),CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Entex (Mississippi),CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Minnesota Gas,CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Arkla (Texas),CNP
CENTERPOINT ENERGY INC,Southern Indiana Gas & Electric Company,CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Arkla (Oklahoma),CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Entex (Louisiana),CNP
CENTERPOINT ENERGY INC,Indiana Gas Company,CNP
CENTERPOINT ENERGY INC,Vectren Energy Delivery of Ohio,CNP
CENTERPOINT ENERGY INC,Delhi (SESH) Compressor Station,CNP
CENTERPOINT ENERGY INC,Gwinville (SESH) Compressor Station,CNP
CENTERPOINT ENERGY INC,Lucedale (SESH) Compressor Station,CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Entex (Texas),CNP
CENTERPOINT ENERGY INC,CenterPoint Energy Arkla (Arkansas),CNP
CENTERPOINT ENERGY INC,"CenterPoint Energy Houston Electric, LLC substations",CNP
CENTURY ALUMINUM CO,"Century Aluminum of South Carolina, Inc.",CENX
CENTURY ALUMINUM CO,Century Aluminum Sebree LLC,CENX
