Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Rivian automotive inc,RIVN,"",1993212.0,206676000.0,0.0424756,,400,1993212.0,,new,0.2233310,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,103.69,40.59
Netapp inc.,NTAP,"",2223661.0,204555000.0,0.0420397,,401,2223661.0,,new,0.9992345,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,91.99,75.5
Church & dwight co.  inc.,CHD,"",1989388.0,203912000.0,0.0419076,,402,1989388.0,,new,0.8197052,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,102.5,102.65
Western digital corp,WDC,"",3108528.0,202707000.0,0.0416599,,403,3108528.0,,new,0.9934012,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,65.21,46.34
Principal financial group,PFG,"",2800722.0,202576000.0,0.041633,,404,2800722.0,,new,1.0721389,Q4 2021,FINANCE,13F,12/31/2021,72.33,73.95
Ulta beauty inc,ULTA,"",490857.0,202400000.0,0.0415968,,405,490857.0,,new,0.9069760,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,412.34,415.65
Cgi inc,GIB,"",2285895.0,202279000.0,0.0415719,,406,2285895.0,,new,1.0527384,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,88.5,80.38
Zscaler inc,ZS,"",628700.0,202020000.0,0.0415187,,407,628700.0,,new,0.4456168,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,321.33,230.84
Roku inc,ROKU,"",878470.0,200467000.0,0.0411995,,408,878470.0,,new,0.7376713,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,228.2,111.36
Cubesmart,CUBE,"",3520370.0,200344000.0,0.0411743,,409,3520370.0,,new,1.5715743,Q4 2021,REAL ESTATE,13F,12/31/2021,56.91,53.68
Pool corp,POOL,"",353637.0,200159000.0,0.0411362,,410,353637.0,,new,0.8803926,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,566.0,414.06
Steel dynamics  inc.,STLD,"",3219503.0,199835000.0,0.0410697,,411,3219503.0,,new,1.6987813,Q4 2021,MATERIALS,13F,12/31/2021,62.07,88.32
Steris corp.,STE,"",814066.0,198152000.0,0.0407238,,412,814066.0,,new,0.8130318,Q4 2021,HEALTH CARE,13F,12/31/2021,243.41,244.46
Essential utilities inc,WTRG,"",3682059.0,197690000.0,0.0406288,,413,3682059.0,,new,1.4552805,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,53.69,49.83
Eversource energy (western massachusetts cos./northeast utilities),ES,"",2170585.0,197480000.0,0.0405857,,414,2170585.0,,new,0.6301781,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,90.98,92.6
First solar inc,FSLR,"",2265120.0,197428000.0,0.040575,,415,2265120.0,,new,2.1301983,Q4 2021,INDUSTRIALS,13F,12/31/2021,87.16,78.12
Keurig dr pepper inc,KDP,"",5343041.0,196944000.0,0.0404755,,416,5343041.0,,new,0.3767591,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,36.86,37.24
Garmin ltd,GRMN,"",1441505.0,196290000.0,0.0403411,,417,1441505.0,,new,0.7477187,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,136.17,111.31
Catalent inc,CTLT,"",1528469.0,195690000.0,0.0402178,,418,1528469.0,,new,0.8533966,Q4 2021,HEALTH CARE,13F,12/31/2021,128.03,97.32
Trex company,TREX,"",1436547.0,193977000.0,0.0398657,,419,1436547.0,,new,1.2561881,Q4 2021,INDUSTRIALS,13F,12/31/2021,135.03,60.99
Ventas  inc.,VTR,"",3793567.0,193927000.0,0.0398555,,420,3793567.0,,new,0.9495879,Q4 2021,REAL ESTATE,13F,12/31/2021,51.12,60.67
Broadridge financial solutions inc,BR,"",1058727.0,193556000.0,0.0397792,,421,1058727.0,,new,0.9066573,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,182.82,153.52
Coursera inc,COUR,"",7918938.0,193539000.0,0.0397757,,422,7918938.0,,new,5.5260771,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,24.44,22.3
Monolithic power systems inc,MPWR,"",390953.0,192869000.0,0.039638,,423,390953.0,,new,0.8405964,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,493.33,409.38
Exelon corp,EXC,"",4670938.25,192435000.0,0.0395488,,424,4670938.25,,new,0.3399142,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,41.1983,49.03
Entegris inc.,ENTG,"",1383559.0,191734000.0,0.0394048,,425,1383559.0,,new,1.0184905,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,138.58,110.11
Thomson reuters corp.,TRI,"",1600272.0,191514000.0,0.0393595,,426,1600272.0,,new,0.3291442,Q4 2021,COMMUNICATIONS,13F,12/31/2021,119.62,106.5
Charles river laboratories international inc,CRL,"",508203.0,191481000.0,0.0393528,,427,508203.0,,new,1.0066207,Q4 2021,HEALTH CARE,13F,12/31/2021,376.78,284.63
Biotechne corp,TECH,"",367264.0,190000000.0,0.0390484,,428,367264.0,,new,0.9347934,Q4 2021,HEALTH CARE,13F,12/31/2021,517.34,418.08
Transunion,TRU,"",1598271.0,189523000.0,0.0389504,,429,1598271.0,,new,0.8328666,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,118.58,93.69
Waters corporation,WAT,"",508632.0,189516000.0,0.0389489,,430,508632.0,,new,0.8333275,Q4 2021,HEALTH CARE,13F,12/31/2021,372.6,295.39
Hologic inc.,HOLX,"",2471874.0,189247000.0,0.0388936,,431,2471874.0,,new,0.9888124,Q4 2021,HEALTH CARE,13F,12/31/2021,76.56,76.33
Tyler technologies inc,TYL,"",351726.0,189211000.0,0.0388862,,432,351726.0,,new,0.8506293,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,537.95,404.83
Cf industries holdings inc,CF,"",2672394.0,189152000.0,0.0388741,,433,2672394.0,,new,1.2891129,Q4 2021,MATERIALS,13F,12/31/2021,70.78,108.41
Expeditors international of washington inc,EXPD,"",1407004.0,188947000.0,0.038832,,434,1407004.0,,new,0.8405139,Q4 2021,TRANSPORTS,13F,12/31/2021,134.29,96.69
International paper co.,IP,"",4018350.0,188782000.0,0.0387981,,435,4018350.0,,new,1.0676753,Q4 2021,MATERIALS,13F,12/31/2021,46.98,47.43
Unilever plc adr,UL,"",3507806.0,188685000.0,0.0387781,,436,3507806.0,,new,0.1368834,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,53.79,44.66
Oneok inc. (oklahoma natural gas),OKE,"",3209283.0,188577000.0,0.0387559,,437,3209283.0,,new,0.7192262,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,58.76,71.3
Amerisourcebergen corp (holding co),ABC,"",1418085.0,188449000.0,0.0387296,,438,1418085.0,,new,0.6780637,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,132.89,161.21
Enphase energy inc,ENPH,"",1026715.0,187827000.0,0.0386018,,439,1026715.0,,new,0.7665738,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,182.94,190.51
Ss&c technologies holdings inc,SSNC,"",2285101.0,187333000.0,0.0385003,,440,2285101.0,,new,0.8912276,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,81.98,71.08
Bill.com holdings  inc.,BILL,"",746419.0,185970000.0,0.0382202,,441,746419.0,,new,0.7205934,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,249.15,196.01
Signature bank (new york  ny),SBNY,"",573795.0,185605000.0,0.0381451,,442,573795.0,,new,0.9463475,Q4 2021,FINANCE,13F,12/31/2021,323.47,265.91
Paychex inc.,PAYX,"",1359045.0,185510000.0,0.0381256,,443,1359045.0,,new,0.3767204,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,136.5,136.69
Albemarle corp.,ALB,"",792779.0,185328000.0,0.0380882,,444,792779.0,,new,0.6769386,Q4 2021,MATERIALS,13F,12/31/2021,233.77,210.89
Genuine parts co.,GPC,"",1313586.0,184165000.0,0.0378492,,445,1313586.0,,new,0.9254088,Q4 2021,INDUSTRIALS,13F,12/31/2021,140.2,130.94
Take-two interactive software  inc.,TTWO,"",1033628.0,183696000.0,0.0377528,,446,1033628.0,,new,0.8955661,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,177.72,137.96
Rayonier inc.,RYN,"",4518921.0,182384000.0,0.0374832,,447,4518921.0,,new,3.1085774,Q4 2021,REAL ESTATE,13F,12/31/2021,40.36,44.59
Nvr inc,NVR,"",30852.0,182300000.0,0.0374659,,448,30852.0,,new,0.9181856,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,5908.87,4335.45
Keycorp  inc. (cleveland  ohio),KEY,"",7852737.0,181634000.0,0.037329,,449,7852737.0,,new,0.8464181,Q4 2021,FINANCE,13F,12/31/2021,23.13,20.48
Generac holdlings inc,GNRC,"",511631.0,180053000.0,0.0370041,,450,511631.0,,new,0.8021350,Q4 2021,INDUSTRIALS,13F,12/31/2021,351.92,251.19
Yandex n.v.,YNDX,"",2975916.0,180043000.0,0.037002,,451,2975916.0,,new,0.9343481,Q4 2021,COMMUNICATIONS,13F,12/31/2021,60.5,18.94
Eldorado resorts inc,CZR,"",1906540.0,178319000.0,0.0366477,,452,1906540.0,,new,0.8903929,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,93.53,68.88
Pinterest inc,PINS,"",4904479.0,178278000.0,0.0366393,,453,4904479.0,,new,0.8611666,Q4 2021,COMMUNICATIONS,13F,12/31/2021,36.35,22.16
Molina healthcare inc,MOH,"",559217.0,177876000.0,0.0365567,,454,559217.0,,new,0.9530995,Q4 2021,HEALTH CARE,13F,12/31/2021,318.08,335.94
Raymond james financial inc.,RJF,"",1755069.0,176209000.0,0.0362141,,455,1755069.0,,new,0.8454006,Q4 2021,FINANCE,13F,12/31/2021,100.4,111.8
Vici properties inc,VICI,"",5839106.0,175815000.0,0.0361331,,456,5839106.0,,new,0.7801980,Q4 2021,REAL ESTATE,13F,12/31/2021,30.11,29.09
Bath & body works inc (l brands),BBWI,"",2500296.0,174496000.0,0.035862,,457,2500296.0,,new,1.0465425,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,69.79,52.19
Teledyne technologies  inc.,TDY,"",399163.0,174390000.0,0.0358403,,458,399163.0,,new,0.8457777,Q4 2021,INDUSTRIALS,13F,12/31/2021,436.89,480.24
Smith (a.o.) corp.  class b,AOS,"",2027383.0,174051000.0,0.0357706,,459,2027383.0,,new,1.5470381,Q4 2021,INDUSTRIALS,13F,12/31/2021,85.85,63.79
Qorvo inc,QRVO,"",1089342.0,170362000.0,0.0350124,,460,1089342.0,,new,1.0046349,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,156.39,113.38
Rogers communications inc. class b (nyse),RCI,"",3544719.0,168909000.0,0.0347138,,461,3544719.0,,new,0.9001960,Q4 2021,COMMUNICATIONS,13F,12/31/2021,47.63,59.23
Builders firstsource inc,BLDR,"",1970291.0,168874000.0,0.0347066,,462,1970291.0,,new,1.1145911,Q4 2021,INDUSTRIALS,13F,12/31/2021,85.71,61.16
Ally financial inc,ALLY,"",3538210.0,168454000.0,0.0346203,,463,3538210.0,,new,1.0674841,Q4 2021,FINANCE,13F,12/31/2021,47.61,41.22
Dowdupont inc. (dow chemical),DD,"",2065137.0,166822000.0,0.0342849,,464,2065137.0,,new,0.4026334,Q4 2021,MATERIALS,13F,12/31/2021,80.78,68.7
Liberty broadband corp class c,LBRDK,"",1030898.0,166078000.0,0.034132,,465,1030898.0,,new,0.7242539,Q4 2021,COMMUNICATIONS,13F,12/31/2021,161.1,138.04
Paramount group inc,PGRE,"",19882031.0,165816000.0,0.0340781,,466,19882031.0,,new,9.0741819,Q4 2021,REAL ESTATE,13F,12/31/2021,8.34,10.32
Cincinnati financial corp. (cincinnati insurance co.),CINF,"",1448412.0,165018000.0,0.0339141,,467,1448412.0,,new,0.9028099,Q4 2021,FINANCE,13F,12/31/2021,113.93,138.19
Bio-rad laboratories inc class a,BIO,"",213286.0,161153000.0,0.0331198,,468,213286.0,,new,0.8579243,Q4 2021,HEALTH CARE,13F,12/31/2021,755.57,548.19
Mgm resorts international  inc.,MGM,"",3578576.0,160606000.0,0.0330074,,469,3578576.0,,new,0.8148456,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,44.88,41.6
Northern trust corp.,NTRS,"",1341644.0,160474000.0,0.0329803,,470,1341644.0,,new,0.6451950,Q4 2021,FINANCE,13F,12/31/2021,119.61,110.89
Burlington stores inc,BURL,"",544646.0,158770000.0,0.0326301,,471,544646.0,,new,0.8191193,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,291.51,213.85
Masco corp.,MAS,"",2258367.0,158583000.0,0.0325916,,472,2258367.0,,new,0.9412755,Q4 2021,INDUSTRIALS,13F,12/31/2021,70.22,49.39
Mosaic company (the),MOS,"",4031374.0,158393000.0,0.0325526,,473,4031374.0,,new,1.0945622,Q4 2021,MATERIALS,13F,12/31/2021,39.29,76.05
Avery dennison corp.,AVY,"",730788.0,158267000.0,0.0325267,,474,730788.0,,new,0.8862198,Q4 2021,INDUSTRIALS,13F,12/31/2021,216.57,166.49
Markel corp. (holding co.),MKL,"",128240.0,158248000.0,0.0325228,,475,128240.0,,new,0.9441539,Q4 2021,FINANCE,13F,12/31/2021,1234.0,1475.0
Nikola corp,NKLA,"",20879125.0,157637393.75,0.0323973,0.0346,476,3840262.0,22.538253,addition,5.0015066,,FINANCE,13G,03/02/2022,,8.02
Pultegroup inc,PHM,"",2731542.0,156135000.0,0.0320885,,477,2731542.0,,new,1.1314243,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,57.16,42.21
Paycom software inc,PAYC,"",375905.0,156072000.0,0.0320756,,478,375905.0,,new,0.6242867,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,415.19,319.36
Cooper companies (the),COO,"",371749.0,155741000.0,0.0320076,,479,371749.0,,new,0.7540311,Q4 2021,HEALTH CARE,13F,12/31/2021,418.94,399.62
Idex corp.,IEX,"",658133.0,155530000.0,0.0319642,,480,658133.0,,new,0.8647726,Q4 2021,INDUSTRIALS,13F,12/31/2021,236.32,190.56
M&t bank corp. (buffalo  ny) (manufacturers & traders trust),MTB,"",1011407.0,155332000.0,0.0319235,,481,1011407.0,,new,0.7836961,Q4 2021,FINANCE,13F,12/31/2021,153.58,159.56
Dell technologies inc,DELL,"",2743539.0,154105000.0,0.0316713,,482,2743539.0,,new,0.9461085,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,56.17,46.94
Cheniere energy inc,LNG,"",1518357.0,153992000.0,0.0316481,,483,1518357.0,,new,0.5968435,Q4 2021,ENERGY,13F,12/31/2021,101.42,139.53
Alcoa corp,AA,"",2576049.0,153481000.0,0.0315431,,484,2576049.0,,new,1.3970212,Q4 2021,MATERIALS,13F,12/31/2021,59.58,87.77
Cardinal health  inc.,CAH,"",2977510.0,153312000.0,0.0315084,,485,2977510.0,,new,1.0746752,Q4 2021,HEALTH CARE,13F,12/31/2021,51.49,62.96
Fortis inc,FTS,"",3172177.0,153165000.0,0.0314781,,486,3172177.0,,new,0.6680104,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,48.27,50.33
Restaurant brands international inc,QSR,"",2509543.0,152281000.0,0.0312965,,487,2509543.0,,new,0.8097931,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,60.68,60.43
Akamai technologies inc.,AKAM,"",1291726.0,151184000.0,0.031071,,488,1291726.0,,new,0.7950066,Q4 2021,COMMUNICATIONS,13F,12/31/2021,117.04,118.99
Brown & brown inc.,BRO,"",2143296.0,150631000.0,0.0309574,,489,2143296.0,,new,0.7570220,Q4 2021,FINANCE,13F,12/31/2021,70.28,71.26
Iron mountain  inc.,IRM,"",2873379.0,150364000.0,0.0309025,,490,2873379.0,,new,0.9923619,Q4 2021,INDUSTRIALS,13F,12/31/2021,52.33,55.42
Quanta services  inc.,PWR,"",1308719.0,150058000.0,0.0308396,,491,1308719.0,,new,0.9171744,Q4 2021,INDUSTRIALS,13F,12/31/2021,114.66,135.14
W.p. carey inc,WPC,"",1827992.0,149987000.0,0.030825,,492,1827992.0,,new,0.9590350,Q4 2021,FINANCE,13F,12/31/2021,82.05,83.15
F5 networks inc,FFIV,"",612420.0,149865000.0,0.0307999,,493,612420.0,,new,1.0082951,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,244.71,199.53
Nuance communications  inc.,NUAN,"",2695943.0,149140000.0,0.0306509,,494,2695943.0,,new,N/A,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,55.32,
Advance auto parts  inc.,AAP,"",618894.0,148460000.0,0.0305112,,495,618894.0,,new,1.0129599,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,239.88,218.68
Eastman chemical co.,EMN,"",1224090.0,148005000.0,0.0304177,,496,1224090.0,,new,0.9492777,Q4 2021,MATERIALS,13F,12/31/2021,120.91,107.91
Kimco realty corp.,KIM,"",5978345.0,147366000.0,0.0302863,,497,5978345.0,,new,0.9675030,Q4 2021,REAL ESTATE,13F,12/31/2021,24.65,25.13
Middleby corp (the),MIDD,"",744576.0,146503000.0,0.030109,,498,744576.0,,new,1.3621684,Q4 2021,INDUSTRIALS,13F,12/31/2021,196.76,148.56
Insulet corp,PODD,"",549739.0,146269000.0,0.0300609,,499,549739.0,,new,0.7942183,Q4 2021,HEALTH CARE,13F,12/31/2021,266.07,263.5
Fleetcor technologies inc,FLT,"",652836.0,146131000.0,0.0300325,,500,652836.0,,new,0.8381879,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,223.84,258.67
Trip.com group ltd,TCOM,"",5929903.0,145994000.0,0.0300044,,501,5929903.0,,new,0.9302445,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,24.62,23.14
Paramount global,PARA,"",4827881.0,145705000.0,0.029945,,502,4827881.0,,new,0.7942198,Q4 2021,COMMUNICATIONS,13F,12/31/2021,30.18,36.41
Comerica  inc. (detroit  mi) (detroit bank & trust),CMA,"",1671852.0,145451000.0,0.0298928,,503,1671852.0,,new,1.2754562,Q4 2021,FINANCE,13F,12/31/2021,87.0,88.37
Universal display corp,OLED,"",879468.0,145139000.0,0.0298287,,504,879468.0,,new,1.8134713,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,165.03,145.92
Teleflex  inc.,TFX,"",440215.0,144602000.0,0.0297183,,505,440215.0,,new,0.9385906,Q4 2021,INDUSTRIALS,13F,12/31/2021,328.48,336.62
Hunt (j.b.) transport services  inc.,JBHT,"",703096.0,143713000.0,0.0295356,,506,703096.0,,new,0.6695267,Q4 2021,TRANSPORTS,13F,12/31/2021,204.4,172.01
Franco-nevada corp,FNV,"",1037237.0,143558000.0,0.0295037,,507,1037237.0,,new,0.5421069,Q4 2021,MATERIALS,13F,12/31/2021,138.29,167.06
Huntsman corp,HUN,"",4052930.0,141366000.0,0.0290532,,508,4052930.0,,new,1.8892474,Q4 2021,MATERIALS,13F,12/31/2021,34.88,34.04
Marketaxess holdings inc,MKTX,"",341855.0,140595000.0,0.0288948,,509,341855.0,,new,0.9035318,Q4 2021,FINANCE,13F,12/31/2021,411.27,265.45
Royal caribbean cruises ltd,RCL,"",1828046.0,140577000.0,0.0288911,,510,1828046.0,,new,0.7168730,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,76.9,82.58
Conagra brands inc,CAG,"",4113487.0,140476000.0,0.0288703,,511,4113487.0,,new,0.8575165,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,34.15,35.62
Fortune brands home & security inc,FBHS,"",1306728.0,139689000.0,0.0287086,,512,1306728.0,,new,0.9873518,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,106.9,69.64
Repligen corp.,RGEN,"",524394.0,138881000.0,0.0285425,,513,524394.0,,new,0.9478003,Q4 2021,HEALTH CARE,13F,12/31/2021,264.84,157.67
Davita inc.,DVA,"",1207236.0,137335000.0,0.0282248,,514,1207236.0,,new,1.2536199,Q4 2021,HEALTH CARE,13F,12/31/2021,113.76,121.45
Medical properties trust inc,MPW,"",5801792.0,137096000.0,0.0281757,,515,5801792.0,,new,0.9729653,Q4 2021,REAL ESTATE,13F,12/31/2021,23.63,20.23
Coupa software inc,COUP,"",866149.0,136895000.0,0.0281344,,516,866149.0,,new,1.1538499,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,158.05,99.9
Abiomed inc,ABMD,"",380570.0,136689000.0,0.028092,,517,380570.0,,new,0.8361199,Q4 2021,HEALTH CARE,13F,12/31/2021,359.17,306.08
Westinghouse air brake technologies corp,WAB,"",1475245.0,135885000.0,0.0279268,,518,1475245.0,,new,0.7961812,Q4 2021,INDUSTRIALS,13F,12/31/2021,92.11,89.17
Shaw communications inc class b,SJR,"",4471394.0,135806000.0,0.0279106,,519,4471394.0,,new,0.9378750,Q4 2021,COMMUNICATIONS,13F,12/31/2021,30.34,30.83
Jones lang lasalle inc,JLL,"",502098.0,135235000.0,0.0277932,,520,502098.0,,new,1.0065089,Q4 2021,REAL ESTATE,13F,12/31/2021,269.34,224.9
Crown holdings inc. (crown cork & seal),CCK,"",1221586.0,135132000.0,0.027772,,521,1221586.0,,new,0.9883728,Q4 2021,MATERIALS,13F,12/31/2021,110.62,118.93
Godaddy inc,GDDY,"",1588471.0,134798000.0,0.0277034,,522,1588471.0,,new,0.9501839,Q4 2021,COMMUNICATIONS,13F,12/31/2021,84.86,86.44
Kraft heinz co. (the),KHC,"",3736690.0,134147000.0,0.0275696,,523,3736690.0,,new,0.3053499,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,35.9,42.29
Open text corp.,OTEX,"",2817123.0,133815000.0,0.0275014,,524,2817123.0,,new,1.0388116,Q4 2021,COMMUNICATIONS,13F,12/31/2021,47.48,41.6
Bunge ltd. adr,BG,"",1433201.0,133804000.0,0.0274991,,525,1433201.0,,new,1.0102754,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,93.36,123.96
Nordson corporation,NDSN,"",516936.0,131958000.0,0.0271197,,526,516936.0,,new,0.8921831,Q4 2021,INDUSTRIALS,13F,12/31/2021,255.27,214.74
Packaging corp. of america,PKG,"",965201.0,131412000.0,0.0270075,,527,965201.0,,new,1.0160998,Q4 2021,MATERIALS,13F,12/31/2021,136.15,163.02
Fox corp class a,FOXA,"",3550004.0,130995000.0,0.0269218,,528,3550004.0,,new,1.1241081,Q4 2021,COMMUNICATIONS,13F,12/31/2021,36.9,39.12
Hasbro inc.,HAS,"",1286377.0,130927000.0,0.0269078,,529,1286377.0,,new,0.9257190,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,101.78,85.22
Agco corp,AGCO,"",1127203.0,130778000.0,0.0268772,,530,1127203.0,,new,1.5122771,Q4 2021,INDUSTRIALS,13F,12/31/2021,116.02,141.51
Vail resorts inc,MTN,"",396715.0,130083000.0,0.0267344,,531,396715.0,,new,0.9782500,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,327.9,260.48
Graco inc.,GGG,"",1609086.0,129725000.0,0.0266608,,532,1609086.0,,new,0.9501998,Q4 2021,INDUSTRIALS,13F,12/31/2021,80.62,65.22
Leidos holdings inc,LDOS,"",1456473.0,129480000.0,0.0266105,,533,1456473.0,,new,1.0682500,Q4 2021,INDUSTRIALS,13F,12/31/2021,88.9,109.06
Lincoln national corp.,LNC,"",1884345.0,128625000.0,0.0264347,,534,1884345.0,,new,1.0926608,Q4 2021,FINANCE,13F,12/31/2021,68.26,64.92
Wayfair inc class a,W,"",673248.0,127897000.0,0.0262851,,535,673248.0,,new,0.8479627,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,189.97,108.23
Teck resources ltd,TECK,"",4424339.0,127516000.0,0.0262068,,536,4424339.0,,new,0.8392968,Q4 2021,MATERIALS,13F,12/31/2021,28.82,43.16
Agnico-eagle mines  ltd,AEM,"",2377243.0,126367000.0,0.0259707,,537,2377243.0,,new,0.5227303,Q4 2021,MATERIALS,13F,12/31/2021,53.14,65.8
Algonquin power & utilities,AQN,"",8687370.0,125570000.0,0.0258069,,538,8687370.0,,new,1.2895871,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,14.45,15.62
Bilibili inc,BILI,"",2702688.0,125405000.0,0.025773,,539,2702688.0,,new,0.8894159,Q4 2021,COMMUNICATIONS,13F,12/31/2021,46.4,24.94
Carlisle companies inc,CSL,"",504574.0,125195000.0,0.0257298,,540,504574.0,,new,0.9690695,Q4 2021,INDUSTRIALS,13F,12/31/2021,248.12,244.29
Cognex corp,CGNX,"",1599638.0,124388000.0,0.025564,,541,1599638.0,,new,0.9199034,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,77.76,70.22
Pembina pipeline corp,PBA,"",4086093.0,124039000.0,0.0254922,,542,4086093.0,,new,0.7429138,Q4 2021,ENERGY,13F,12/31/2021,30.33,39.72
Masimo corp,MASI,"",423396.0,123962000.0,0.0254764,,543,423396.0,,new,0.7647401,Q4 2021,HEALTH CARE,13F,12/31/2021,292.78,134.87
Incyte corporation,INCY,"",1679539.0,123278000.0,0.0253358,,544,1679539.0,,new,0.7588558,Q4 2021,HEALTH CARE,13F,12/31/2021,73.4,81.74
Cboe global markets inc,CBOE,"",940724.0,122670000.0,0.0252109,,545,940724.0,,new,0.8824623,Q4 2021,FINANCE,13F,12/31/2021,130.4,117.33
Doordash  inc.,DASH,"",816680.0,121604000.0,0.0249918,,546,816680.0,,new,0.2570925,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,148.9,109.31
Elanco animal health inc,ELAN,"",4250857.0,120639000.0,0.0247935,,547,4250857.0,,new,0.8983466,Q4 2021,HEALTH CARE,13F,12/31/2021,28.38,26.25
Centerpoint energy inc,CNP,"",4285498.0,119608000.0,0.0245816,,548,4285498.0,,new,0.6808512,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,27.91,32.4
Everest re group ltd.,RE,"",432547.0,118483000.0,0.0243504,,549,432547.0,,new,1.1014170,Q4 2021,FINANCE,13F,12/31/2021,273.92,290.57
Royalty pharma plc,RPRX,"",2960240.0,117966000.0,0.0242441,,550,2960240.0,,new,0.6837159,Q4 2021,HEALTH CARE,13F,12/31/2021,39.85,44.1
Teladoc health inc,TDOC,"",1283627.0,117863000.0,0.024223,,551,1283627.0,,new,0.8006304,Q4 2021,HEALTH CARE,13F,12/31/2021,91.82,65.18
Dentsply international inc. (1983),XRAY,"",2112238.0,117842000.0,0.0242186,,552,2112238.0,,new,0.9709015,Q4 2021,HEALTH CARE,13F,12/31/2021,55.79,49.07
Pentair plc,PNR,"",1609247.0,117523000.0,0.0241531,,553,1609247.0,,new,0.9747173,Q4 2021,INDUSTRIALS,13F,12/31/2021,73.03,52.43
Nortonlifelock inc,NLOK,"",4521330.0,117464000.0,0.024141,,554,4521330.0,,new,0.7770460,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,25.98,26.64
Championx corp,CHX,"",5801273.0,117244000.0,0.0240957,,555,5801273.0,,new,2.8590078,Q4 2021,ENERGY,13F,12/31/2021,20.21,25.18
Juniper networks inc,JNPR,"",3277293.0,117032000.0,0.0240522,,556,3277293.0,,new,1.0154010,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,35.71,35.13
