Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Alphabet inc. class c,GOOG,"",1210278.0,3502048000.0,0.695623,0.7196,16,-62584.0,-4.916794,reduction,0.3834368,Q2 2014,COMMUNICATIONS,13F,12/31/2021,1029.28,2545.06
Alibaba group holding ltd adr,BABA,PUT,28637000.0,3401790000.0,0.675708,0.5814,17,10123300.0,54.680048,addition,N/A,Q3 2014,COMMUNICATIONS,13F,12/31/2021,,95.49
Nvidia corp.,NVDA,"",11484002.0,3377561000.0,0.670895,0.4779,18,607417.0,5.58463,addition,0.4575300,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,102.5954,212.58
Ishares iboxx usd high yield corporate bond etf,HYG,"",34728924.0,3021764000.0,0.600222,0.7267,19,-4428761.0,-11.310069,reduction,No Data,Q2 2007,FINANCE,13F,12/31/2021,86.41,80.24
Ishares russell 1000 growth etf,IWF,"",9160330.0,2799304000.0,0.556034,0.5396,20,-122270.0,-1.317196,reduction,No Data,Q2 2003,FINANCE,13F,12/31/2021,99.42,261.88
Ishares msci eafe etf,EFA,"",34587721.0,2721361000.0,0.540552,0.5851,21,-775129.0,-2.19193,reduction,No Data,Q2 2003,FINANCE,13F,12/31/2021,63.03,72.02
Ishares russell 1000 value etf,IWD,"",14589267.0,2449976000.0,0.486646,0.4822,22,64732.0,0.445673,addition,No Data,Q3 2002,FINANCE,13F,12/31/2021,105.4584,165.23
Vanguard 500 index fund-etf shares,VOO,"",5610415.0,2449339000.0,0.48652,0.4588,23,126117.0,2.299602,addition,No Data,Q3 2011,FINANCE,13F,12/31/2021,294.3212,402.52
Ishares core s&p 500 etf,IVV,"",4625475.0,2206307000.0,0.438246,0.4123,24,113296.0,2.510893,addition,No Data,Q3 2002,FINANCE,13F,12/31/2021,305.5253,439.7
Home depot  inc. (the),HD,"",5175135.0,2147733000.0,0.426611,0.3703,25,-142658.0,-2.682654,reduction,0.5008115,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,189.64,304.52
Procter & gamble co. (oh) (1905),PG,"",12926529.0,2114521000.0,0.420014,0.3871,26,-128000.0,-0.980503,reduction,0.5341656,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,97.67,158.57
Jpmorgan chase & co. (chemical bank),JPM,"",13232082.0,2095299000.0,0.416196,0.4772,27,-511138.0,-3.719201,reduction,0.4481185,Q1 2001,FINANCE,13F,12/31/2021,89.97,126.12
Cisco systems  inc.,CSCO,"",32833206.0,2080641000.0,0.413284,0.3641,28,1291235.0,4.093704,addition,0.7903678,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,41.0728,51.17
Ishares msci emerging markets etf,EEM,PUT,42388700.0,2070688000.0,0.411307,0.4845,29,-2951000.0,-6.508645,reduction,No Data,Q1 2006,FINANCE,13F,12/31/2021,,44.23
Johnson & johnson co.,JNJ,"",11516116.0,1970062000.0,0.391319,0.4581,30,-1857539.0,-13.889539,reduction,0.4379970,Q1 2001,HEALTH CARE,13F,12/31/2021,127.25,179.9
Alibaba group holding ltd adr,BABA,CALL,15972600.0,1897385000.0,0.376883,0.5427,31,-1310400.0,-7.582017,reduction,N/A,Q3 2014,COMMUNICATIONS,13F,12/31/2021,,95.49
Ishares core msci emerging markets etf,IEMG,"",31222107.0,1868955000.0,0.371236,0.4056,32,256878.0,0.829569,addition,No Data,Q1 2014,FINANCE,13F,12/31/2021,56.3888,54.52
Accenture plc,ACN,"",4429943.0,1836433000.0,0.364776,0.2861,33,214312.0,5.083747,addition,0.6687369,Q3 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,186.7317,319.47
Unitedhealth group inc.,UNH,"",3632864.0,1824207000.0,0.362348,0.3157,34,-176775.0,-4.640203,reduction,0.3861056,Q1 2001,HEALTH CARE,13F,12/31/2021,202.6,534.82
Visa inc,V,"",8289802.0,1796483000.0,0.356841,0.4693,35,-1643158.0,-16.542481,reduction,0.4998603,Q2 2008,FINANCE,13F,12/31/2021,139.16,212.79
Texas instruments  inc.,TXN,"",9342464.0,1760775000.0,0.349748,0.3667,36,348537.0,3.875248,addition,1.0123189,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,114.3715,173.66
American tower corp.  class a,AMT,"",5919654.0,1731499000.0,0.343933,0.3091,37,429454.0,7.822192,addition,1.2984978,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,153.1873,255.54
Ishares russell 2000 etf,IWM,PUT,7434800.0,1653871000.0,0.328513,0.3682,38,-501700.0,-6.321426,reduction,No Data,Q1 2006,FINANCE,13F,12/31/2021,,198.96
Sea ltd adr,SE,"",7385220.0,1652147000.0,0.328171,0.4631,39,535122.0,7.811888,addition,1.8464017,Q4 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,156.2685,108.58
Square inc,SQ,"",10093258.0,1630161000.0,0.323804,0.3558,40,3099154.0,44.310951,addition,1.9471466,Q3 2016,FINANCE,13F,12/31/2021,144.706,121.31
Paypal holdings inc,PYPL,"",8226098.0,1551277000.0,0.308135,0.4027,41,930179.0,12.749305,addition,0.7060999,Q3 2015,COMMUNICATIONS,13F,12/31/2021,90.096,102.31
Ishares russell 2000 etf,IWM,CALL,6780100.0,1508233000.0,0.299585,0.2226,42,1983200.0,41.343368,addition,No Data,Q1 2006,FINANCE,13F,12/31/2021,,198.96
Taiwan semiconductor manufacturing co ltd adr,TSM,"",11952067.0,1437954000.0,0.285625,0.229,43,2283782.0,23.621376,addition,0.2304646,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,74.3066,98.36
Marvell technology group ltd,MRVL,"",15734773.0,1376635000.0,0.273445,0.2076,44,-494522.0,-3.047095,reduction,1.8559534,Q4 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,30.25,60.97
Nike inc.,NKE,"",8129508.0,1354946000.0,0.269137,0.2442,45,202179.0,2.550405,addition,0.5141044,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,53.9254,133.46
Berkshire hathaway inc class b,BRK.B,"",4508982.0,1348185000.0,0.267794,0.331,46,-1208195.0,-21.13272,reduction,0.3501758,Q1 2001,FINANCE,13F,12/31/2021,199.2,344.33
Mastercard inc,MA,"",3737879.0,1343094000.0,0.266783,0.3321,47,-764878.0,-16.986882,reduction,0.3854559,Q2 2006,FINANCE,13F,12/31/2021,171.09,357.82
Broadcom ltd. (avago technologies),AVGO,"",1992526.0,1325845000.0,0.263357,0.1859,48,185329.0,10.255052,addition,0.4880279,Q3 2009,INFORMATION TECHNOLOGY,13F,12/31/2021,347.5379,573.85
Tesla inc,TSLA,CALL,1238800.0,1309139000.0,0.260038,0.1049,49,601000.0,94.230166,addition,N/A,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,,985.0
Union pacific corp.,UNP,"",5196283.0,1309100000.0,0.260031,0.1829,50,797822.0,18.138663,addition,0.8158724,Q1 2001,TRANSPORTS,13F,12/31/2021,143.8621,246.21
Abbvie inc,ABBV,"",9654060.0,1307159000.0,0.259645,0.226,51,-223702.0,-2.264703,reduction,0.5465743,Q4 2012,HEALTH CARE,13F,12/31/2021,,162.31
Mcdonalds corp.,MCD,"",4738462.0,1270241000.0,0.252312,0.2306,52,228814.0,5.073877,addition,0.6372457,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,163.4864,250.51
Xtrackers msci eafe hedged equity etf,DBEF,"",32163260.0,1263052000.0,0.250884,0.2446,53,1622376.0,5.312145,addition,No Data,Q2 2014,FINANCE,13F,12/31/2021,29.9453,37.62
Adobe systems  inc.,ADBE,"",2226495.0,1262556000.0,0.250785,0.2662,54,46954.0,2.154307,addition,0.4713648,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,195.9254,420.44
Sterling check corp,STER,"",59953332.0,1229643000.0,0.244248,0.3301,55,102.0,0.00017,addition,62.2601438,Q3 2021, ,13F,12/31/2021,25.96,24.34
Walt disney co. (the),DIS,"",7814949.0,1210457000.0,0.240437,0.3338,56,-1487414.0,-15.989636,reduction,0.4292434,Q1 2001,COMMUNICATIONS,13F,12/31/2021,120.47,130.47
Palo alto networks inc,PANW,"",2149771.0,1196905000.0,0.237745,0.1858,57,321367.0,17.576367,addition,2.1828545,Q3 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,356.4817,626.78
Lilly (eli) & co.,LLY,"",4284732.0,1183529000.0,0.235088,0.2331,58,-471398.0,-9.911378,reduction,0.4499128,Q1 2001,HEALTH CARE,13F,12/31/2021,111.32,301.86
Netflix inc,NFLX,"",1961986.0,1181978000.0,0.23478,0.2509,59,23581.0,1.216516,addition,0.4440942,Q2 2002,COMMUNICATIONS,13F,12/31/2021,293.3699,341.13
Industrial select sector spdr,XLI,"",10927832.0,1156274000.0,0.229674,0.2047,60,1062134.0,10.765929,addition,No Data,Q2 2003,INDUSTRIALS,13F,12/31/2021,78.1481,99.94
Bank of america corp. (north carolina national bank),BAC,"",25170797.0,1119849000.0,0.222439,0.2461,61,-2160909.0,-7.906235,reduction,0.3121048,Q1 2001,FINANCE,13F,12/31/2021,22.93,37.57
Btc ishares currency hedged msci eafe etf,HEFA,"",31646628.0,1118075000.0,0.222087,0.221,62,1354713.0,4.472193,addition,No Data,Q1 2015,FINANCE,13F,12/31/2021,28.4765,33.94
Goldman sachs activebeta u.s. large cap equity etf,GSLC,"",11608102.0,1104047000.0,0.2193,0.208,63,207517.0,1.820231,addition,No Data,Q4 2015,FINANCE,13F,12/31/2021,57.6425,86.53
Nextera energy inc.,NEE,"",11757778.0,1097706000.0,0.218041,0.1673,64,1712115.0,17.043325,addition,0.5990477,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,72.9744,82.81
Intuit  inc.,INTU,"",1670040.0,1074203000.0,0.213372,0.2288,65,-329547.0,-16.480753,reduction,0.5905114,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,265.58,465.11
Salesforce.com inc.,CRM,"",4172124.0,1060264000.0,0.210603,0.2053,66,603356.0,16.906563,addition,0.4214267,Q3 2004,INFORMATION TECHNOLOGY,13F,12/31/2021,189.8907,189.41
Pfizer  inc.,PFE,"",17742282.0,1047683000.0,0.208104,0.17,67,-890845.0,-4.780974,reduction,0.3141464,Q1 2001,HEALTH CARE,13F,12/31/2021,35.27,53.12
Ssga spdr gold shares,GLD,CALL,5933000.0,1014306000.0,0.201475,0.247,68,-1157300.0,-16.322299,reduction,No Data,Q2 2008,MATERIALS,13F,12/31/2021,,184.04
Amazon.com inc.,AMZN,PUT,303400.0,1011639000.0,0.200945,0.1769,69,49500.0,19.495865,addition,N/A,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,,3034.13
Vanguard ftse emerging markets etf,VWO,"",20453629.0,1011636000.0,0.200944,0.2133,70,342600.0,1.703543,addition,No Data,Q1 2005,FINANCE,13F,12/31/2021,44.2979,45.45
S&p global inc. (mcgraw-hill inc.),SPGI,"",2132159.0,1006229000.0,0.19987,0.2317,71,-438829.0,-17.068497,reduction,0.6144075,Q1 2001,COMMUNICATIONS,13F,12/31/2021,306.83,387.59
Abbott laboratories,ABT,"",7106250.0,1000133000.0,0.198659,0.2124,72,-1369037.0,-16.153282,reduction,0.4029669,Q1 2001,HEALTH CARE,13F,12/31/2021,62.25,117.69
Workday inc,WDAY,"",3650356.0,997204000.0,0.198078,0.1756,73,337295.0,10.180766,addition,1.8624265,Q4 2012,COMMUNICATIONS,13F,12/31/2021,191.2238,224.67
Ishares msci emerging markets etf,EEM,"",20344986.0,993853000.0,0.197412,0.2843,74,-6258144.0,-23.524089,reduction,No Data,Q2 2003,FINANCE,13F,12/31/2021,48.69,44.23
Mercadolibre inc,MELI,"",736138.0,992609000.0,0.197165,0.2021,75,168756.0,29.742925,addition,1.4600414,Q3 2007,COMMUNICATIONS,13F,12/31/2021,1043.2119,1060.34
Pepsico inc. (loft  inc.),PEP,"",5636988.0,979201000.0,0.194502,0.1636,76,507382.0,9.891247,addition,0.4076936,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,113.7507,171.9
Danaher corp.,DHR,"",2973621.0,978351000.0,0.194333,0.195,77,-46425.0,-1.537228,reduction,0.4156861,Q4 2019,HEALTH CARE,13F,12/31/2021,175.79,276.98
Thermo fisher scientific  inc.,TMO,"",1463181.0,976294000.0,0.193924,0.1731,78,34670.0,2.427003,addition,0.3740316,Q1 2001,HEALTH CARE,13F,12/31/2021,272.3929,568.9
Oracle corp,ORCL,"",11188334.0,975735000.0,0.193813,0.2143,79,-406465.0,-3.50558,reduction,0.4193282,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,46.32,79.45
Costco co.,COST,"",1706313.0,968674000.0,0.192411,0.1854,80,-239387.0,-12.303387,reduction,0.3849773,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,228.63,590.39
Servicenow inc,NOW,"",1471276.0,955019000.0,0.189698,0.1692,81,189601.0,14.79322,addition,0.7356380,Q3 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,410.4635,507.33
Health care select sector spdr,XLV,"",6664623.0,938980000.0,0.186512,0.2081,82,-1043782.0,-13.54083,reduction,No Data,Q4 2003,HEALTH CARE,13F,12/31/2021,102.4,138.64
Linde plc (praxair inc.),LIN,"",2696583.0,934177000.0,0.185558,0.1375,83,486933.0,22.036657,addition,0.5261064,Q1 2001,MATERIALS,13F,12/31/2021,216.3216,318.52
Alphabet inc. class a,GOOGL,PUT,318700.0,923287000.0,0.183395,0.1001,84,142100.0,80.464326,addition,N/A,Q3 2004,COMMUNICATIONS,13F,12/31/2021,,2534.6
Snowflake  inc.,SNOW,"",2700146.0,914673000.0,0.181684,0.154,85,300095.0,12.503693,addition,0.8815364,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,259.4015,198.63
Spdr biotech etf,XBI,"",8083203.0,904995000.0,0.179762,0.1828,86,1229149.0,17.933168,addition,No Data,Q3 2009,HEALTH CARE,13F,12/31/2021,100.6739,87.77
Vanguard developed markets index fund-etf shares,VEA,"",17713704.0,904462000.0,0.179656,0.1838,87,549898.0,3.203823,addition,No Data,Q3 2007,FINANCE,13F,12/31/2021,42.8142,47.01
Chevron corp. (standard oil of california),CVX,"",7665175.0,899509000.0,0.178672,0.1528,88,562812.0,7.924292,addition,0.3935797,Q1 2001,ENERGY,13F,12/31/2021,105.8605,171.59
Financial select sector spdr,XLF,PUT,22943200.0,895932000.0,0.177962,0.1353,89,5950400.0,35.017184,addition,No Data,Q1 2006,FINANCE,13F,12/31/2021,,36.89
Coca cola co.,KO,"",14906568.0,882618000.0,0.175317,0.1971,90,-2799787.0,-15.812328,reduction,0.3438659,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,47.96,65.02
Ishares 20+ year treasury bond etf,TLT,"",5929554.0,878701000.0,0.174539,0.1735,91,262713.0,4.635969,addition,No Data,Q2 2003,FINANCE,13F,12/31/2021,143.918,120.75
Ishares core u.s. aggregate bond etf,AGG,"",7644462.0,872080000.0,0.173224,0.1468,92,1616413.0,26.814862,addition,No Data,Q2 2004,FINANCE,13F,12/31/2021,113.3861,103.97
Morgan stanley,MS,"",8853969.0,869106000.0,0.172633,0.1944,93,-566237.0,-6.010877,reduction,0.4934190,Q1 2001,FINANCE,13F,12/31/2021,57.36,84.76
Advanced micro devices inc,AMD,PUT,5975100.0,859817000.0,0.170788,0.1663,94,-1643000.0,-21.567057,reduction,N/A,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,,93.06
Btc ishares core msci eafe etf,IEFA,"",11512030.0,859258000.0,0.170677,0.1699,95,722956.0,6.700816,addition,No Data,Q3 2015,FINANCE,13F,12/31/2021,61.2287,68.05
Apple inc,AAPL,PUT,4807600.0,853685000.0,0.16957,0.0769,96,2245700.0,87.657598,addition,N/A,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,,165.29
Verizon communications (bell atlantic corp.),VZ,"",16260130.0,844876000.0,0.16782,0.1821,97,363512.0,2.286725,addition,0.3873467,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,53.9251,53.83
Nvidia corp.,NVDA,PUT,2869400.0,843919000.0,0.16763,0.0721,98,1229300.0,74.952747,addition,N/A,Q2 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,,212.58
Fidelity national information services inc,FIS,"",7692055.0,839587000.0,0.16677,0.1801,99,715061.0,10.248841,addition,1.2618393,Q3 2001,FINANCE,13F,12/31/2021,110.1477,102.45
Marsh & mclennan companies  inc.,MMC,"",4785204.0,831763000.0,0.165216,0.1866,100,-1024408.0,-17.632985,reduction,0.9517763,Q1 2001,FINANCE,13F,12/31/2021,110.04,169.76
Microsoft corp.,MSFT,PUT,2473100.0,831753000.0,0.165214,0.1045,101,725800.0,41.538373,addition,N/A,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,,279.83
Amgen  inc.,AMGN,"",3597483.0,809326000.0,0.160759,0.1392,102,510832.0,16.549717,addition,0.6386829,Q1 2001,HEALTH CARE,13F,12/31/2021,187.2951,254.02
Boston scientific inc.,BSX,"",18956111.0,805255000.0,0.15995,0.1499,103,2669063.0,16.387641,addition,1.3286453,Q1 2001,HEALTH CARE,13F,12/31/2021,32.5992,44.25
Equinix inc,EQIX,"",924812.0,782243000.0,0.155379,0.1679,104,-76935.0,-7.680083,reduction,1.0194019,Q2 2003,INFORMATION TECHNOLOGY,13F,12/31/2021,407.45,735.24
Cvs health corp. (melville shoe),CVS,"",7535726.0,777386000.0,0.154415,0.1557,105,-1116796.0,-12.907173,reduction,0.5741460,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,74.7,103.68
Ishares core s&p small-cap etf,IJR,"",6748488.0,772769000.0,0.153497,0.1519,106,189785.0,2.893636,addition,No Data,Q2 2003,FINANCE,13F,12/31/2021,68.7054,105.15
Qualcomm inc.,QCOM,"",4187694.0,765803000.0,0.152114,0.1215,107,-251793.0,-5.671669,reduction,0.3722125,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,83.74,136.91
Blackrock inc. class a,BLK,"",835724.0,765156000.0,0.151985,0.1557,108,-39520.0,-4.515312,reduction,0.5496651,Q1 2001,FINANCE,13F,12/31/2021,584.36,688.17
Ishares msci eafe etf,EFA,PUT,9640200.0,758491000.0,0.150661,0.1868,109,-1650800.0,-14.620494,reduction,No Data,Q4 2007,FINANCE,13F,12/31/2021,,72.02
Comcast corp.  class a,CMCSA,"",14993967.0,754648000.0,0.149898,0.2169,110,-3291554.0,-18.000876,reduction,0.3314473,Q4 2002,COMMUNICATIONS,13F,12/31/2021,32.88,47.58
Nio inc,NIO,"",23761084.0,752751000.0,0.149521,0.1325,111,6225779.0,35.504253,addition,1.5627089,Q3 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,27.813,19.65
Walmart inc,WMT,"",5182105.0,749799000.0,0.148935,0.2059,112,-1783040.0,-25.599467,reduction,0.1868180,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,107.33,157.08
Bristol-myers squibb co,BMY,"",11994864.0,747879000.0,0.148553,0.179,113,-2270599.0,-15.916756,reduction,0.5502956,Q1 2001,HEALTH CARE,13F,12/31/2021,60.01,77.51
Charles schwab corp,SCHW,"",8866376.0,745662000.0,0.148113,0.1247,114,792746.0,9.818954,addition,0.4886077,Q1 2001,FINANCE,13F,12/31/2021,51.6739,82.75
Energy transfer equity lp,ET,"",88490552.0,728277000.0,0.14466,0.1466,115,16346887.0,22.658798,addition,2.7815436,Q2 2006,ENERGY,13F,12/31/2021,11.6052,11.53
Invesco s&p 500 equal weight etf,RSP,"",4465610.0,726777000.0,0.144362,0.1526,116,-337178.0,-7.020464,reduction,No Data,Q2 2007,FINANCE,13F,12/31/2021,130.48,155.53
Lam research corp.,LRCX,"",1007653.0,724655000.0,0.14394,0.1081,117,112202.0,12.530222,addition,0.7223312,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,267.1736,456.16
Privia health group inc,PRVA,"",28007447.0,724553000.0,0.14392,0.1525,118,-2507042.0,-8.215907,reduction,26.2984313,Q2 2021, ,13F,12/31/2021,44.37,28.21
Kla corp,KLAC,"",1681464.0,723214000.0,0.143654,0.1134,119,83663.0,5.236134,addition,1.1156555,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,234.9204,321.48
Lowes companies  inc.,LOW,"",2776780.0,717742000.0,0.142567,0.1268,120,-169515.0,-5.753497,reduction,0.4197313,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,106.4,201.28
Splunk inc,SPLK,"",6063390.0,701655000.0,0.139372,0.1222,121,2080839.0,52.248898,addition,3.7731114,Q4 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,122.5903,137.77
Ishares msci emerging markets etf,EEM,CALL,14320300.0,699546000.0,0.138953,0.132,122,1970000.0,15.95103,addition,No Data,Q1 2006,FINANCE,13F,12/31/2021,,44.23
Zscaler inc,ZS,"",2153415.0,691957000.0,0.137446,0.0235,123,1730185.0,408.804905,addition,1.5263209,Q1 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,282.9518,230.84
Technology select sector spdr etf,XLK,"",3971189.0,690471000.0,0.13715,0.1335,124,-242892.0,-5.763819,reduction,No Data,Q2 2003,INFORMATION TECHNOLOGY,13F,12/31/2021,69.35,146.64
At&t inc. (southwestern bell - sbc corp.),T,"",37082968.02,689005000.0,0.136859,0.2067,125,-10686450.18,-22.370903,reduction,0.3921140,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,31.8,19.54
Ball corp.,BLL,"",7145904.0,687935000.0,0.136647,0.1197,126,874604.0,13.946136,addition,2.2246676,Q1 2001,MATERIALS,13F,12/31/2021,72.0041,87.15
Vanguard ftse europe etf,VGK,"",10062808.0,686687000.0,0.136399,0.1373,127,195106.0,1.977218,addition,No Data,Q3 2006,FINANCE,13F,12/31/2021,52.7169,61.54
Bhp group ltd,BHP,"",11368271.0,686075000.0,0.136277,0.1084,128,1821250.0,19.076631,addition,0.4491326,Q1 2003,ENERGY,13F,12/31/2021,53.7996,78.15
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",3271115.0,682059000.0,0.135479,0.1708,129,-521900.0,-13.759503,reduction,0.4771995,Q1 2001,INDUSTRIALS,13F,12/31/2021,107.88,195.19
Intel corp.,INTC,"",13165178.0,678008000.0,0.134675,0.219,130,-6211399.0,-32.056224,reduction,0.3233099,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,45.3,45.67
Farfetch ltd,FTCH,"",20093264.0,671718000.0,0.133425,0.0329,131,15955491.0,385.605759,addition,5.9461031,Q3 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,36.9864,13.63
Illinois tool works inc,ITW,"",2719492.0,671171000.0,0.133317,0.1195,132,-7508.0,-0.275321,reduction,0.8690501,Q1 2001,INDUSTRIALS,13F,12/31/2021,165.5,196.27
Snap inc class a,SNAP,"",14240634.0,669737000.0,0.133032,0.1812,133,2678341.0,23.164445,addition,1.0395227,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,33.9662,33.19
Prologis  inc.,PLD,"",3936932.0,662822000.0,0.131658,0.1541,134,-1856159.0,-32.040909,reduction,0.5320178,Q1 2001,REAL ESTATE,13F,12/31/2021,82.1,162.7
Atlassian corp plc,TEAM,"",1731702.0,660280000.0,0.131153,0.128,135,189794.0,12.309035,addition,1.2611828,Q4 2015,INFORMATION TECHNOLOGY,13F,12/31/2021,151.9763,265.35
Caterpillar inc.,CAT,"",3176587.0,656728000.0,0.130448,0.1224,136,171412.0,5.703894,addition,0.5927706,Q1 2001,INDUSTRIALS,13F,12/31/2021,156.3256,227.81
Ubs group ag adr,UBS,"",36445157.0,651275000.0,0.129365,0.0959,137,8075806.0,28.466658,addition,0.9843596,Q4 2014,FINANCE,13F,12/31/2021,14.5306,17.61
Charter communications inc,CHTR,"",997027.0,650031000.0,0.129118,0.1254,138,184678.0,22.733825,addition,0.5206606,Q3 2010,COMMUNICATIONS,13F,12/31/2021,560.6749,555.32
United parcel service  inc. class b,UPS,"",2994780.0,641902000.0,0.127503,0.1357,139,-518609.0,-14.760933,reduction,0.4083597,Q1 2001,TRANSPORTS,13F,12/31/2021,139.05,188.02
International business machines corp.,IBM,"",4775679.0,638317000.0,0.126791,0.1726,140,-1083175.0,-18.487831,reduction,0.5310381,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,142.05,126.56
