Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Verizon communications (bell atlantic corp.),VZ,"",46310891.0,2406332000.0,0.38008,0.4361,64,-991213.0,-2.095495,reduction,1.1032119,Q4 2007,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,45.09,53.83
Blackstone group inc,BX,"",18225627.0,2358214000.0,0.37248,0.3798,65,-899272.0,-4.702101,reduction,2.6534248,Q1 2014,FINANCE,13F,12/31/2021,39.91,112.98
Synchrony financial,SYF,"",50314580.0,2334093000.0,0.36867,0.4198,66,-2960.0,-0.005883,reduction,9.6522726,Q1 2020,FINANCE,13F,12/31/2021,20.02,37.7
Restaurant brands international inc,QSR,"",37476766.0,2273888000.0,0.359161,0.3776,67,1326036.0,3.668075,addition,12.0932082,Q2 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,59.7443,60.43
Chubb limited,CB,"",11752506.0,2271868000.0,0.358842,0.3484,68,-13359.0,-0.11354,reduction,2.7573204,Q4 2016,FINANCE,13F,12/31/2021,125.04,210.52
Constellation brands  inc.,STZ,"",8810424.0,2211152000.0,0.349252,0.2461,69,1967115.0,28.745085,addition,5.3611220,Q2 2015,CONSUMER STAPLES,13F,12/31/2021,216.8716,251.42
Zoetis  inc.,ZTS,"",9034229.0,2204648000.0,0.348224,0.2994,70,399.0,0.004417,addition,1.9141509,Q3 2017,HEALTH CARE,13F,12/31/2021,86.147,187.3
Norfolk southern corp.,NSC,"",7292809.0,2171121000.0,0.342929,0.3006,71,-68290.0,-0.927715,reduction,3.0414908,Q4 2007,TRANSPORTS,13F,12/31/2021,167.75,263.06
Chevron corp. (standard oil of california),CVX,"",18278426.0,2144977000.0,0.338799,0.3161,72,22338.0,0.122359,addition,0.9385328,Q4 2007,ENERGY,13F,12/31/2021,99.1722,171.59
Activision blizzard inc,ATVI,"",31818816.0,2116906000.0,0.334365,0.3395,73,6120230.0,23.815435,addition,4.0745144,Q3 2016,INFORMATION TECHNOLOGY,13F,12/31/2021,54.8513,78.93
Ringcentral inc,RNG,"",11188825.0,2096226000.0,0.331099,0.3677,74,1283945.0,12.962752,addition,13.2463954,Q4 2013,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,85.821,106.62
Target corp.,TGT,"",8941995.0,2069535000.0,0.326883,0.2841,75,1666948.0,22.913227,addition,1.9337469,Q4 2014,CONSUMER DISCRETIONARY,13F,12/31/2021,152.9212,237.2
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",9754772.0,2033899000.0,0.321254,0.7235,76,-10211643.0,-51.144099,reduction,1.4230536,Q1 2019,INDUSTRIALS,13F,12/31/2021,162.55,195.19
Nasdaq inc,NDAQ,"",9272130.0,1947240000.0,0.307567,0.3147,77,-281163.0,-2.9431,reduction,5.6395662,Q3 2018,FINANCE,13F,12/31/2021,93.04,178.55
Keurig dr pepper inc,KDP,"",52047425.0,1918468000.0,0.303022,0.2992,78,729672.0,1.421871,addition,3.6700714,Q1 2018,CONSUMER STAPLES,13F,12/31/2021,32.778,37.24
Intercontinental exchange inc,ICE,"",13717010.0,1876076000.0,0.296326,0.2973,79,-1451838.0,-9.571182,reduction,2.4413907,Q2 2014,FINANCE,13F,12/31/2021,76.64,124.53
Companhia vale de rio doce s.a. adr,VALE,"",133754081.0,1875248000.0,0.296196,0.3088,80,4065408.0,3.134744,addition,2.6755953,Q2 2017,MATERIALS,13F,12/31/2021,13.2734,19.48
Exxonmobil corp. (standard oil of new jersey),XOM,"",30240300.0,1850404000.0,0.292271,0.3047,81,-106136.0,-0.349748,reduction,0.7142941,Q2 2018,ENERGY,13F,12/31/2021,62.81,87.83
Dow inc,DOW,"",32007160.0,1815448000.0,0.28675,0.4234,82,-11090895.0,-25.734096,reduction,4.3542070,Q2 2019,MATERIALS,13F,12/31/2021,47.27,65.49
Insulet corp,PODD,"",6638874.0,1766437000.0,0.279009,0.343,83,-430503.0,-6.089688,reduction,9.5913064,Q1 2018,HEALTH CARE,13F,12/31/2021,166.71,263.5
Johnson & johnson co.,JNJ,"",10294946.0,1761182000.0,0.278179,0.2835,84,11485.0,0.111684,addition,0.3915518,Q4 2007,HEALTH CARE,13F,12/31/2021,123.8228,179.9
Mercadolibre inc,MELI,"",1290480.0,1740108000.0,0.27485,0.6655,85,-1031082.0,-44.413287,reduction,2.5595123,Q4 2011,COMMUNICATIONS,13F,12/31/2021,409.87,1060.34
Sherwin-williams co.,SHW,"",4884144.0,1719984000.0,0.271672,0.2331,86,3151.0,0.064557,addition,1.8745685,Q2 2016,MATERIALS,13F,12/31/2021,118.6408,252.9
Iron mountain  inc.,IRM,"",32713760.0,1711911000.0,0.270396,0.2426,87,3589.0,0.010972,addition,11.2981581,Q4 2007,INDUSTRIALS,13F,12/31/2021,32.5122,55.42
Rockwell automation  inc.,ROK,"",4892850.0,1706871000.0,0.2696,0.1817,88,1272634.0,35.153538,addition,4.2108547,Q2 2021,INDUSTRIALS,13F,12/31/2021,302.4139,261.66
Molina healthcare inc,MOH,"",5339026.0,1698237000.0,0.268237,0.2471,89,3205.0,0.060066,addition,9.0995503,Q1 2012,HEALTH CARE,13F,12/31/2021,117.7004,335.94
Zoominfo technologies inc.,ZI,"",26343070.0,1691225000.0,0.267129,0.2158,90,5679231.0,27.48391,addition,6.5318488,Q2 2020,COMMUNICATIONS,13F,12/31/2021,58.5601,55.0
Procter & gamble co. (oh) (1905),PG,"",10153879.0,1660972000.0,0.262351,0.2419,91,18325.0,0.180799,addition,0.4195908,Q4 2007,CONSUMER STAPLES,13F,12/31/2021,92.239,158.57
Conagra brands inc,CAG,"",48259802.0,1648051000.0,0.26031,0.3401,92,-10558425.0,-17.950941,reduction,10.0604608,Q2 2019,CONSUMER STAPLES,13F,12/31/2021,31.54,35.62
Tc energy corp,TRP,"",33967849.0,1579861000.0,0.249539,0.1822,93,11784737.0,53.124814,addition,3.4631813,Q2 2020,ENERGY,13F,12/31/2021,44.3457,57.46
Nucor corp. (nuclear corp. of america),NUE,"",13603414.0,1552817000.0,0.245268,0.2364,94,-458063.0,-3.257574,reduction,5.0546850,Q1 2009,MATERIALS,13F,12/31/2021,45.49,165.32
Zendesk inc,ZEN,"",14666370.0,1529556000.0,0.241593,0.1971,95,4743356.0,47.801565,addition,12.0346238,Q2 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,97.037,125.17
Stellantis nv,STLA,"",79844579.0,1516294000.0,0.239499,0.2608,96,-44753.0,-0.056019,reduction,5.1492116,Q1 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,17.79,15.0
Union pacific corp.,UNP,"",6015788.0,1515541000.0,0.23938,0.2043,97,-89194.0,-1.461003,reduction,0.9445435,Q4 2007,TRANSPORTS,13F,12/31/2021,93.46,246.21
Bunge ltd. adr,BG,"",16103429.0,1503416000.0,0.237465,0.2234,98,9684.0,0.060172,addition,11.3514417,Q4 2020,CONSUMER STAPLES,13F,12/31/2021,77.9493,123.96
Floor & decor holdings inc,FND,"",11535279.0,1499702000.0,0.236878,0.2377,99,5102.0,0.044249,addition,10.8978090,Q3 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,43.7382,83.15
Cloudflare inc,NET,"",11347863.0,1492244000.0,0.2357,0.0517,100,8661214.0,322.379812,addition,4.0749131,Q1 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,115.512,113.98
Wells fargo & co.  (northwest bancorporation),WFC,"",30966799.0,1485787000.0,0.23468,0.1786,101,8421820.0,37.355635,addition,0.8145752,Q3 2021,FINANCE,13F,12/31/2021,46.837,46.35
Bank of nova scotia (nyse) adr,BNS,"",20685449.0,1472736000.0,0.232619,0.2171,102,22879.0,0.110727,addition,1.7189471,Q4 2019,FINANCE,13F,12/31/2021,48.4158,67.51
Chipotle mexican grill  inc.,CMG,"",841133.0,1470511000.0,0.232267,0.2244,103,117699.0,16.269487,addition,3.0006227,Q1 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,1326.4884,1603.17
Citigroup  inc.,C,"",24226417.0,1463033000.0,0.231086,0.4397,104,-12479635.0,-33.998848,reduction,1.2230038,Q4 2007,FINANCE,13F,12/31/2021,215.54,50.93
Broadcom inc  8.00% mandatory convertible preferred stock  series a due 9/30/2022,AVGOP,"",702239.0,1457420000.0,0.2302,,105,702239.0,,new,18.7890033,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,2075.39,1789.49
Nextera energy inc.,NEE,"",15218874.0,1420834000.0,0.224421,0.2088,106,-356543.0,-2.289139,reduction,0.7753872,Q3 2020,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,75.08,82.81
Coterra energy inc,CTRA,"",74260277.0,1410945000.0,0.222859,0.1804,107,25687168.0,52.883516,addition,9.1568704,Q2 2016,ENERGY,13F,12/31/2021,18.6206,29.42
Adobe systems  inc.,ADBE,"",2459187.0,1394537000.0,0.220267,0.2412,108,4251.0,0.173161,addition,0.5206273,Q4 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,252.4448,420.44
Charter communications inc,CHTR,"",2137400.0,1393521000.0,0.220107,0.2471,109,147965.0,7.437539,addition,1.1161784,Q4 2014,COMMUNICATIONS,13F,12/31/2021,278.2645,555.32
Halliburton co.,HAL,"",60696925.0,1388139000.0,0.219257,0.224,110,-2997.0,-0.004937,reduction,6.7548241,Q3 2020,ENERGY,13F,12/31/2021,12.58,40.76
Snap inc class a,SNAP,"",29320382.0,1378938000.0,0.217803,0.4217,111,-4125072.0,-12.33373,reduction,2.1402982,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,15.67,33.19
Nortonlifelock inc,NLOK,"",53009164.0,1377178000.0,0.217525,0.3016,112,-16821215.0,-24.088678,reduction,9.1102748,Q3 2016,INFORMATION TECHNOLOGY,13F,12/31/2021,24.66,26.64
Aes corp. (the),AES,"",55815599.0,1356319000.0,0.214231,0.2042,113,3412942.0,6.512918,addition,8.3632013,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,16.7141,24.41
Regency centers corp,REG,"",17851008.0,1345073000.0,0.212454,0.1586,114,4047132.0,29.318809,addition,10.4164918,Q1 2021,REAL ESTATE,13F,12/31/2021,65.537,70.58
Catalent inc,CTLT,"",10500300.0,1344353000.0,0.212341,0.2415,115,-131704.0,-1.23875,reduction,5.8626775,Q4 2020,HEALTH CARE,13F,12/31/2021,108.16,97.32
Nvidia corp.,NVDA,"",4540780.0,1335489000.0,0.210941,0.148,116,354617.0,8.47117,addition,0.1809076,Q3 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,213.9505,212.58
Aon plc,AON,"",4407216.0,1324633000.0,0.209226,0.2066,117,171508.0,4.049099,addition,2.0002577,Q3 2018,FINANCE,13F,12/31/2021,226.7006,328.26
Las vegas sands corp,LVS,"",34255198.0,1289366000.0,0.203655,0.1229,118,14576547.0,74.072898,addition,4.4837248,Q2 2009,CONSUMER DISCRETIONARY,13F,12/31/2021,38.7947,36.96
Arista networks inc,ANET,"",8686014.0,1248615000.0,0.197219,0.1309,119,-243046.0,-2.721966,reduction,2.8222733,Q3 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,60.07,126.58
Barrick gold corp,GOLD,"",64150552.0,1217932000.0,0.192372,0.1996,120,-639500.0,-0.987034,reduction,3.6053186,Q3 2018,MATERIALS,13F,12/31/2021,17.25,25.2
Deere & co.,DE,"",3491539.0,1197214000.0,0.1891,0.1997,121,-274.0,-0.007847,reduction,1.1381087,Q4 2007,INDUSTRIALS,13F,12/31/2021,162.48,436.75
Brookfield infrastructure partners lp,BIP,"",19659851.0,1196578000.0,0.189,0.1735,122,1584397.0,8.765462,addition,6.4402466,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,32.2348,66.73
Brookfield asset management inc,BAM,"",19732888.0,1191496000.0,0.188197,0.1765,123,406898.0,2.105445,addition,1.2023439,Q2 2011,REAL ESTATE,13F,12/31/2021,31.361,54.63
At&t inc. (southwestern bell - sbc corp.),T,"",62573544.14,1162620000.0,0.183636,0.1853,124,9348575.99,17.564268,addition,0.6616505,Q1 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,28.3001,19.54
Epam systems  inc.,EPAM,"",1726214.0,1153888000.0,0.182257,0.2161,125,-493095.0,-22.218402,reduction,3.0349127,Q2 2014,INFORMATION TECHNOLOGY,13F,12/31/2021,172.45,290.06
First republic bank (ca),FRC,"",5517543.0,1139428000.0,0.179973,0.1817,126,8.0,0.000145,addition,3.7892610,Q4 2010,FINANCE,13F,12/31/2021,77.1902,160.75
Automatic data processing inc,ADP,"",4613703.0,1137647000.0,0.179691,0.1585,127,-30267.0,-0.651748,reduction,1.0983823,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,176.44,229.2
Walgreens boots alliance inc.,WBA,"",21522395.0,1122608000.0,0.177316,0.1611,128,1462083.0,7.288436,addition,2.4931185,Q3 2013,CONSUMER STAPLES,13F,12/31/2021,45.9711,44.81
Fifth third bancorp (1927) (cincinnati  oh),FITB,"",25271226.0,1100562000.0,0.173834,0.183,129,15755.0,0.062383,addition,3.6959352,Q4 2007,FINANCE,13F,12/31/2021,37.7436,39.01
Discover financial services,DFS,"",9512342.0,1099259000.0,0.173628,0.2016,130,-99983.0,-1.040154,reduction,3.3387922,Q2 2015,FINANCE,13F,12/31/2021,75.57,112.18
American tower corp.  class a,AMT,"",3727705.0,1090354000.0,0.172221,0.2081,131,-866591.0,-18.862324,reduction,0.8176857,Q4 2007,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,106.96,255.54
Danaher corp.,DHR,"",3276731.0,1078077000.0,0.170282,0.1703,132,-1198.0,-0.036547,reduction,0.4580582,Q1 2019,HEALTH CARE,13F,12/31/2021,150.37,276.98
General mills co.,GIS,"",15867503.0,1069152000.0,0.168873,0.1619,133,13602.0,0.085796,addition,2.6348698,Q4 2007,CONSUMER STAPLES,13F,12/31/2021,53.6618,70.92
Texas instruments  inc.,TXN,"",5665676.0,1067810000.0,0.168661,0.1857,134,4029.0,0.071163,addition,0.6139142,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,61.6502,173.66
Smartsheet inc,SMAR,"",13773708.0,1066812000.0,0.168503,0.1704,135,-730954.0,-5.039442,reduction,10.8666361,Q2 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,40.82,52.26
Carlyle group inc,CG,"",19315259.0,1060408000.0,0.167491,0.1559,136,-2900.0,-0.015012,reduction,5.4207994,Q1 2020,FINANCE,13F,12/31/2021,32.36,42.72
Conocophillips (phillips petroleum),COP,"",14448385.0,1042884000.0,0.164724,0.2297,137,-5404819.0,-27.223913,reduction,1.1118188,Q4 2007,ENERGY,13F,12/31/2021,49.05,101.37
Eastman chemical co.,EMN,"",8452732.0,1022020000.0,0.161428,0.1726,138,-1584507.0,-15.786283,reduction,6.5550656,Q2 2020,MATERIALS,13F,12/31/2021,81.48,107.91
