Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Gilead sciences inc.,GILD,"",107156981.0,7780682000.0,1.72276,1.8666,11,-7391127.0,-6.452422,reduction,8.5459858,Q2 2009,HEALTH CARE,13F,12/31/2021,68.63,61.82
Thermo fisher scientific  inc.,TMO,"",9454032.0,6308097000.0,1.3967,1.2324,12,208075.0,2.250443,addition,2.4167257,Q4 2007,HEALTH CARE,13F,12/31/2021,146.8902,568.9
Mercadolibre inc,MELI,"",4641606.0,6258766000.0,1.38578,1.5093,13,789308.0,20.489277,addition,9.2060688,Q2 2018,COMMUNICATIONS,13F,12/31/2021,806.6256,1060.34
Home depot  inc. (the),HD,"",13663644.0,5670538000.0,1.25554,1.1391,14,-1210317.0,-8.137153,reduction,1.3222669,Q4 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,83.85,304.52
General motors co,GM,"",95124907.0,5577171000.0,1.23487,1.1698,15,-1995.0,-0.002097,reduction,6.5466972,Q3 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,33.14,40.13
Jpmorgan chase & co. (chemical bank),JPM,"",35020429.0,5545485000.0,1.22785,1.348,16,-277873.0,-0.787214,reduction,1.1860039,Q4 2007,FINANCE,13F,12/31/2021,112.87,126.12
Philip morris international inc,PM,"",57454180.0,5458143000.0,1.20851,1.2778,17,-329073.0,-0.569495,reduction,3.7071331,Q2 2008,CONSUMER STAPLES,13F,12/31/2021,64.97,101.77
Apple inc,AAPL,"",29549427.0,5247094000.0,1.16178,0.7063,18,8154171.0,38.112052,addition,0.1810689,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,81.6406,165.29
Raytheon technologies corp. (united technologies),RTX,"",59603906.0,5129511000.0,1.13575,1.0543,19,7030375.0,13.372461,addition,3.9995418,Q4 2007,INDUSTRIALS,13F,12/31/2021,59.9249,104.27
Canadian natural resources  ltd,CNQ,"",121275042.0,5124376000.0,1.13461,0.9933,20,4822542.0,4.14121,addition,10.3889685,Q4 2007,ENERGY,13F,12/31/2021,24.6969,65.78
General electric co,GE,"",53968728.0,5098427000.0,1.12887,0.9306,21,15251142.0,39.390736,addition,4.9092744,Q4 2007,INDUSTRIALS,13F,12/31/2021,477.8958,90.83
Amgen  inc.,AMGN,"",22157906.0,4984873000.0,1.10372,1.3258,22,-4566275.0,-17.086679,reduction,3.9338270,Q4 2007,HEALTH CARE,13F,12/31/2021,107.44,254.02
Mastercard inc,MA,"",13612416.0,4891227000.0,1.08299,1.1631,23,-727136.0,-5.070842,reduction,1.4037334,Q2 2015,FINANCE,13F,12/31/2021,178.36,357.82
Linde plc (praxair inc.),LIN,"",13142655.0,4554028000.0,1.00833,0.9014,24,-20214.0,-0.153568,reduction,2.5641467,Q1 2020,MATERIALS,13F,12/31/2021,180.6,318.52
Csx corp,CSX,"",111241858.0,4182668000.0,0.926104,0.9356,25,-23604023.0,-17.504445,reduction,5.1061629,Q3 2008,TRANSPORTS,13F,12/31/2021,14.37,35.06
Accenture plc,ACN,"",9840974.0,4079569000.0,0.903276,0.7468,26,-165351.0,-1.652465,reduction,1.4855773,Q1 2013,INFORMATION TECHNOLOGY,13F,12/31/2021,90.25,319.47
Servicenow inc,NOW,"",6125694.0,3976263000.0,0.880403,0.965,27,-521980.0,-7.85207,reduction,3.0628470,Q2 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,271.87,507.33
Toronto-dominion bank (the),TD,"",50022490.0,3835082000.0,0.849143,0.7253,28,3059059.0,6.513704,addition,2.7503150,Q2 2014,FINANCE,13F,12/31/2021,55.3494,74.5
Carrier global corp.,CARR,"",69450096.0,3766967000.0,0.834061,0.7185,29,9951763.0,16.726121,addition,8.1418006,Q2 2020,INDUSTRIALS,13F,12/31/2021,30.5692,41.28
Crown castle international corp,CCI,"",16744169.0,3495178000.0,0.773883,0.7273,30,-1244126.0,-6.916309,reduction,3.8740409,Q1 2011,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,120.79,192.68
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",16957554.0,3400329000.0,0.752882,0.6991,31,1639724.0,10.704676,addition,4.0524219,Q1 2008,FINANCE,13F,12/31/2021,162.518,175.0
Pepsico inc. (loft  inc.),PEP,"",18698968.0,3248196000.0,0.719198,0.5988,32,1634702.0,9.57968,addition,1.3523978,Q4 2007,CONSUMER STAPLES,13F,12/31/2021,128.3001,171.9
Freeport-mcmoran copper & gold  inc,FCX,"",73817050.0,3080385000.0,0.682042,0.4687,33,12060475.0,19.529054,addition,5.0741003,Q1 2009,MATERIALS,13F,12/31/2021,19.2919,49.19
Eog resources inc,EOG,"",33853299.0,3007196000.0,0.665837,0.7828,34,-7948079.0,-19.013916,reduction,5.7830387,Q4 2007,ENERGY,13F,12/31/2021,66.27,122.94
Shopify inc,SHOP,"",2105757.0,2900449000.0,0.642202,0.4499,35,683314.0,48.038058,addition,1.8472493,Q3 2020,COMMUNICATIONS,13F,12/31/2021,1400.4044,579.51
Chevron corp. (standard oil of california),CVX,"",23661322.0,2776656000.0,0.614792,0.6153,36,-2336364.0,-8.986815,reduction,1.2149255,Q4 2007,ENERGY,13F,12/31/2021,88.86,171.59
Companhia vale de rio doce s.a. adr,VALE,"",194612768.0,2728492000.0,0.604128,0.7509,37,-36118094.0,-15.653777,reduction,3.8930028,Q3 2014,MATERIALS,13F,12/31/2021,13.49,19.48
Stryker corp.,SYK,"",9900733.0,2647673000.0,0.586233,0.6005,38,140504.0,1.439556,addition,2.6213215,Q3 2010,HEALTH CARE,13F,12/31/2021,116.9462,261.7
Perkinelmer inc.,PKI,"",13082180.0,2630283000.0,0.582383,0.509,39,492434.0,3.911389,addition,10.3697304,Q1 2014,HEALTH CARE,13F,12/31/2021,74.3751,161.42
Rivian automotive inc,RIVN,"",25755740.0,2562520000.0,0.567379,,40,25755740.0,,new,2.8858219,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,103.69,40.59
Atlassian corp plc,TEAM,"",6485684.0,2472964000.0,0.54755,0.6842,41,-1007090.0,-13.440816,reduction,4.7234647,Q3 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,129.19,265.35
Abbvie inc,ABBV,"",18005829.0,2437990000.0,0.539807,0.4784,42,-1004082.0,-5.281887,reduction,1.0194181,Q4 2012,HEALTH CARE,13F,12/31/2021,,162.31
Micron technology  inc.,MU,"",25812955.0,2404488000.0,0.532389,0.4064,43,1267685.0,5.164681,addition,2.3051869,Q1 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,77.1085,70.13
Old dominion freight line inc,ODFL,"",6511245.0,2333483000.0,0.516667,0.4804,44,-688990.0,-9.568993,reduction,5.6686657,Q1 2015,TRANSPORTS,13F,12/31/2021,45.66,264.75
Snowflake  inc.,SNOW,"",6816310.0,2309039000.0,0.511255,0.3455,45,1919350.0,39.194725,addition,2.2253706,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,289.1648,198.63
Cenovus energy inc,CVE,"",188068828.0,2305960000.0,0.510573,0.4692,46,-11430779.0,-5.729725,reduction,9.4861074,Q2 2018,ENERGY,13F,12/31/2021,6.75,17.47
Nice ltd adr,NICE,"",7221375.0,2192460000.0,0.485443,0.4714,47,106751.0,1.500445,addition,11.4404470,Q3 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,220.7826,214.0
General dynamics corp. (electric boat),GD,"",10406239.0,2169387000.0,0.480334,0.4803,48,-95842.0,-0.9126,reduction,3.7414149,Q4 2007,INDUSTRIALS,13F,12/31/2021,130.46,243.74
Medtronic plc,MDT,"",20618348.0,2132968000.0,0.47227,0.5452,49,1974556.0,10.590957,addition,1.5369173,Q4 2015,HEALTH CARE,13F,12/31/2021,106.859,109.02
Cme group inc,CME,"",9100458.0,2079091000.0,0.460341,0.3833,50,603755.0,7.105756,addition,2.5319881,Q3 2012,FINANCE,13F,12/31/2021,168.4165,237.66
Insulet corp,PODD,"",7811512.0,2078434000.0,0.460196,0.4795,51,579764.0,8.016928,addition,11.2854386,Q3 2012,HEALTH CARE,13F,12/31/2021,132.4521,263.5
Baker hughes company,BKR,"",86254355.0,2075278000.0,0.459497,0.3342,52,28319193.0,48.880839,addition,9.0475871,Q4 2007,ENERGY,13F,12/31/2021,20.1172,37.29
Pg&e corp. (pacific gas & electric),PCG,"",161081863.0,1955532000.0,0.432983,0.3606,53,92603.0,0.057521,addition,6.5344090,Q2 2020,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,9.5915,12.3
Adobe systems  inc.,ADBE,"",3443997.0,1952961000.0,0.432414,0.582,54,-889237.0,-20.521324,reduction,0.7291186,Q1 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,273.78,420.44
Epam systems  inc.,EPAM,"",6534816.0,1938291773.76,0.429166,0.2564,55,4798530.0,276.367488,addition,11.4890715,,INFORMATION TECHNOLOGY,13G,03/31/2022,,290.06
Ceridian hcm holding inc,CDAY,"",18543250.0,1937032000.0,0.428887,0.4823,56,187146.0,1.01953,addition,12.1955211,Q2 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,51.0545,60.63
Airbnb  inc.,ABNB,"",11210133.0,1866387000.0,0.413245,0.3633,57,1926816.0,20.755685,addition,3.0202350,Q4 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,156.4532,170.7
Dte energy co. (detroit edison),DTE,"",15598877.0,1864690000.0,0.41287,0.3976,58,340983.0,2.234797,addition,8.0513711,Q1 2020,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,98.4415,137.17
Sea ltd adr,SE,"",8312413.0,1859574000.0,0.411737,0.6094,59,116794.0,1.425078,addition,2.0782121,Q1 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,186.2538,108.58
Tc energy corp,TRP,"",39679860.0,1845421000.0,0.408603,0.4182,60,2435667.0,6.539723,addition,4.0455475,Q3 2016,ENERGY,13F,12/31/2021,48.7833,57.46
Keurig dr pepper inc,KDP,"",49811900.0,1836066000.0,0.406532,0.4246,61,-3472380.0,-6.516706,reduction,3.5124357,Q4 2018,CONSUMER STAPLES,13F,12/31/2021,29.02,37.24
Hilton worldwide holdings inc,HLT,"",11712677.0,1827040000.0,0.404533,0.3662,62,-168806.0,-1.420749,reduction,4.1960004,Q4 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,80.67,155.58
Royal caribbean cruises ltd,RCL,"",23740080.0,1825613000.0,0.404217,0.5323,63,-1909095.0,-7.443105,reduction,9.3097341,Q1 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,49.84,82.58
Mcdonalds corp.,MCD,"",6706341.0,1797768000.0,0.398052,0.3771,64,2867.0,0.042769,addition,0.9018933,Q3 2014,CONSUMER DISCRETIONARY,13F,12/31/2021,138.7953,250.51
Humana  inc.,HUM,"",3872000.0,1796075000.0,0.397677,0.2352,65,1281466.0,49.467253,addition,3.0549943,Q4 2012,HEALTH CARE,13F,12/31/2021,292.8259,460.56
General mills co.,GIS,"",26420726.0,1780229000.0,0.394169,0.3711,66,-168177.0,-0.632508,reduction,4.3872797,Q1 2019,CONSUMER STAPLES,13F,12/31/2021,55.48,70.92
American international group  inc.,AIG,"",30800599.0,1751321000.0,0.387768,0.4568,67,-4872804.0,-13.659487,reduction,3.7095854,Q4 2013,FINANCE,13F,12/31/2021,47.84,63.03
S&p global inc. (mcgraw-hill inc.),SPGI,"",3579753.0,1689384000.0,0.374054,0.4472,68,-932059.0,-20.658197,reduction,1.0315492,Q3 2019,COMMUNICATIONS,13F,12/31/2021,294.33,387.59
Aptiv plc,APTV,"",10081087.0,1662862000.0,0.368182,0.3244,69,746656.0,7.998945,addition,3.7211206,Q2 2020,INDUSTRIALS,13F,12/31/2021,110.7735,107.51
Eldorado resorts inc,CZR,"",17328116.0,1620688000.0,0.358844,0.4166,70,1423925.0,8.953143,addition,8.0925821,Q3 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,72.4017,68.88
Autodesk  inc.,ADSK,"",5698830.0,1602459000.0,0.354808,0.5434,71,-2469155.0,-30.229671,reduction,2.6224670,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,117.73,196.73
Kimberly-clark corp.,KMB,"",11172139.0,1596722000.0,0.353538,0.2202,72,4043708.0,56.72648,addition,3.3158795,Q4 2007,CONSUMER STAPLES,13F,12/31/2021,134.5743,126.42
Wolfspeed inc (cree inc),WOLF,"",14236967.0,1591266000.0,0.35233,0.2674,73,38439.0,0.270725,addition,11.5209041,Q4 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,46.2474,113.63
Bce inc. (bell telephone of canada),BCE,"",30063234.0,1564063000.0,0.346306,0.3437,74,651805.0,2.216162,addition,3.3045164,Q4 2014,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,43.421,58.2
Public service enterprise group inc,PEG,"",22864793.0,1525768000.0,0.337827,0.262,75,4425830.0,24.002597,addition,4.5540326,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,61.343,72.8
Deutsche bank ag (nyse) adr,DB,"",119867976.0,1503617000.0,0.332923,0.3081,76,16896929.0,16.409398,addition,5.7997646,Q1 2020,FINANCE,13F,12/31/2021,8.3079,11.75
Edison international (southern california edison),EIX,"",21567094.0,1471953000.0,0.325912,0.2173,77,4777038.0,28.451591,addition,5.6636844,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,60.5895,71.84
Advanced micro devices inc,AMD,"",10198477.0,1467578000.0,0.324943,0.2732,78,-1181864.0,-10.385137,reduction,0.8503667,Q1 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,73.06,93.06
Waste management  inc.,WM,"",8776486.0,1464796000.0,0.324327,0.3374,79,-907480.0,-9.370954,reduction,2.1169241,Q2 2018,INDUSTRIALS,13F,12/31/2021,109.24,159.16
Dominion energy inc,D,"",18060658.0,1418845000.0,0.314153,0.2625,80,2649044.0,17.188622,addition,2.2338826,Q4 2007,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,67.3388,87.4
Nextera energy inc.,NEE,"",14668370.0,1369438000.0,0.303214,0.2723,81,-195465.0,-1.315037,reduction,0.7473396,Q4 2007,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,19.7,82.81
Doordash  inc.,DASH,"",9006254.0,1341031000.0,0.296924,0.237,82,4074501.0,82.617702,addition,2.8351867,Q4 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,151.5887,109.31
Ryanair holdings adr,RYAAY,"",13020294.0,1332360000.0,0.295004,0.3421,83,-302872.0,-2.273273,reduction,5.7384387,Q3 2019,TRANSPORTS,13F,12/31/2021,83.61,95.88
Nike inc.,NKE,"",7847308.0,1307924000.0,0.289593,0.3941,84,-3783695.0,-32.531115,reduction,0.4962582,Q3 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,45.26,133.46
Morgan stanley,MS,"",13271214.0,1302703000.0,0.288437,0.2169,85,3718415.0,38.924874,addition,0.7395857,Q1 2021,FINANCE,13F,12/31/2021,96.4109,84.76
Sba communications corp.,SBAC,"",3348430.0,1302606000.0,0.288416,0.2621,86,-50747.0,-1.49292,reduction,3.1027068,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,229.38,355.38
Dexcom inc,DXCM,"",2374545.0,1275020000.0,0.282308,0.1951,87,844916.0,55.236662,addition,2.4463293,Q1 2021,HEALTH CARE,13F,12/31/2021,459.8162,492.11
Equinix inc,EQIX,"",1471283.0,1244469000.0,0.275544,0.2654,88,31696.0,2.201743,addition,1.6217660,Q3 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,645.4422,735.24
Zoetis  inc.,ZTS,"",4813677.0,1174688000.0,0.260093,0.218,89,1258.0,0.026141,addition,1.0199104,Q4 2019,HEALTH CARE,13F,12/31/2021,131.9693,187.3
Lockheed martin corp.,LMT,"",3288398.0,1168730000.0,0.258774,0.228,90,456524.0,16.120915,addition,1.2337626,Q4 2007,INDUSTRIALS,13F,12/31/2021,330.0227,467.66
Illinois tool works inc,ITW,"",4580863.0,1130556000.0,0.250322,0.2207,91,1799.0,0.039288,addition,1.4638762,Q4 2007,INDUSTRIALS,13F,12/31/2021,100.8273,196.27
Biomarin pharmaceutical inc,BMRN,"",12672008.0,1119584000.0,0.247892,0.3182,92,-4973431.0,-28.185363,reduction,6.8857573,Q4 2010,HEALTH CARE,13F,12/31/2021,61.91,82.95
Nvr inc,NVR,"",188073.0,1111299000.0,0.246058,0.1269,93,74601.0,65.743972,addition,5.5972358,Q2 2019,CONSUMER DISCRETIONARY,13F,12/31/2021,4226.1059,4335.45
Principal financial group,PFG,"",15228210.0,1101456000.0,0.243878,0.2362,94,-492966.0,-3.135681,reduction,5.8294814,Q4 2011,FINANCE,13F,12/31/2021,47.71,73.95
Yandex n.v.,YNDX,"",18064520.0,1092903000.0,0.241985,0.3951,95,-3185878.0,-14.992086,reduction,5.6717157,Q3 2017,COMMUNICATIONS,13F,12/31/2021,54.86,18.94
Stanley black & decker inc.,SWK,"",5689119.0,1073065000.0,0.237592,0.3657,96,-3252161.0,-36.372432,reduction,3.4814681,Q3 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,141.2,140.32
Teva pharmaceutical industries ltd  adr,TEVA,"",132350750.0,1060109000.0,0.234724,0.2701,97,13474099.0,11.334521,addition,11.9990834,Q4 2007,HEALTH CARE,13F,12/31/2021,26.7373,10.19
Procter & gamble co. (oh) (1905),PG,"",6225601.0,1018384000.0,0.225485,0.2031,98,-847.0,-0.013603,reduction,0.2572618,Q2 2013,CONSUMER STAPLES,13F,12/31/2021,96.98,158.57
Pagseguro digital ltd,PAGS,"",38275886.0,1003623000.0,0.222217,0.3423,99,9910156.0,34.937074,addition,18.9991060,Q2 2018,FINANCE,13F,12/31/2021,26.5387,17.1
Zscaler inc,ZS,"",3117454.0,1001731000.0,0.221798,0.1607,100,490831.0,18.68677,addition,2.2096230,Q1 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,225.2704,230.84
Starbucks corp.,SBUX,"",8553117.0,1000458000.0,0.221516,0.2386,101,-720002.0,-7.764399,reduction,0.7435553,Q4 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,107.57,79.5
Affirm holdings inc,AFRM,"",23800297.0,995804426.48,0.220486,,102,4435284.0,22.903594,addition,10.6362498,,INFORMATION TECHNOLOGY,13G,02/28/2022,,35.19
Tfi intl inc,TFII,"",9277751.0,988173259.01,0.218796,,103,1192850.0,14.754046,addition,10.0847887,,TRANSPORTS,13G,03/31/2022,,81.23
Union pacific corp.,UNP,"",3833827.0,965856000.0,0.213855,0.184,104,-190599.0,-4.736054,reduction,0.6019522,Q4 2007,TRANSPORTS,13F,12/31/2021,89.04,246.21
American tower corp.  class a,AMT,"",3277658.0,958714000.0,0.212273,0.2142,105,-181768.0,-5.254282,reduction,0.7189663,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,200.18,255.54
Burlington stores inc,BURL,"",3284289.0,957413000.0,0.211985,0.2897,106,-1094481.0,-24.99517,reduction,4.9394000,Q1 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,208.5,213.85
Williams-sonoma inc.,WSM,"",5629556.0,952129000.0,0.210815,0.2383,107,-128797.0,-2.236699,reduction,7.7165282,Q1 2012,CONSUMER DISCRETIONARY,13F,12/31/2021,53.68,148.98
Digital realty trust  inc.,DLR,"",5373977.0,950495000.0,0.210453,0.247,108,-1954251.0,-26.667443,reduction,1.8936626,Q1 2018,REAL ESTATE,13F,12/31/2021,130.47,145.02
Telus corp. non-voting shares,TU,"",39181004.0,922726000.0,0.204305,0.2278,109,-5236816.0,-11.789899,reduction,2.8478959,Q4 2014,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,16.25,26.73
Altria group  inc. (philip morris),MO,"",19058185.0,903167000.0,0.199974,0.2223,110,-1874741.0,-8.955943,reduction,1.0487334,Q4 2007,CONSUMER STAPLES,13F,12/31/2021,39.66,54.98
Square inc,SQ,"",5551304.0,896591000.0,0.198518,0.1055,111,3666615.0,194.547482,addition,1.0709330,Q3 2021,FINANCE,13F,12/31/2021,188.1033,121.31
Vici properties inc,VICI,"",28673666.0,863364000.0,0.191161,0.139,112,7705515.0,36.748662,addition,3.8312608,Q3 2019,REAL ESTATE,13F,12/31/2021,27.4262,29.09
Automatic data processing inc,ADP,"",3475411.0,856967000.0,0.189745,0.1461,113,343626.0,10.972209,addition,0.8273896,Q2 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,175.4271,229.2
Amphenol corp. (1987),APH,"",9795455.0,856710000.0,0.189688,0.1877,114,-1192710.0,-10.854497,reduction,1.6354658,Q3 2014,INFORMATION TECHNOLOGY,13F,12/31/2021,55.61,70.38
Cognizant technology solutions corp,CTSH,"",9524118.0,844980000.0,0.187091,0.1691,115,-243570.0,-2.49363,reduction,1.8157265,Q4 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,81.47,84.74
Datadog inc,DDOG,"",4641710.0,826735000.0,0.183051,0.0914,116,1868762.0,67.392609,addition,1.7563022,Q3 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,127.0444,136.04
Paycom software inc,PAYC,"",1988938.0,825787000.0,0.182841,0.1888,117,356545.0,21.84186,addition,3.3031419,Q4 2016,INFORMATION TECHNOLOGY,13F,12/31/2021,395.5088,319.36
Southern co.,SO,"",11938813.0,818764000.0,0.181286,0.1711,118,102121.0,0.862749,addition,1.1260624,Q2 2020,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,57.0693,75.99
Penumbra inc,PEN,"",2770020.0,795879000.0,0.176219,0.1722,119,620.0,0.022388,addition,7.3570417,Q3 2020,HEALTH CARE,13F,12/31/2021,184.403,197.74
Tesla inc,TSLA,"",751842.0,794532000.0,0.175921,0.051,120,469885.0,166.651298,addition,0.0748649,Q1 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,797.0625,985.0
Guardant health inc,GH,"",7927702.0,792929000.0,0.175566,0.1542,121,2640910.0,49.952977,addition,7.7824933,Q2 2019,HEALTH CARE,13F,12/31/2021,105.1816,71.99
Carmax inc.,KMX,"",5916243.0,770472000.0,0.170594,0.051,122,4207817.0,246.297879,addition,3.6592330,Q3 2019,CONSUMER DISCRETIONARY,13F,12/31/2021,119.1528,91.79
Woodward inc,WWD,"",7033686.0,769912000.0,0.17047,0.1857,123,1263.0,0.01796,addition,11.1460539,Q4 2019,INDUSTRIALS,13F,12/31/2021,70.7869,117.11
Paypal holdings inc,PYPL,"",4078431.0,769129000.0,0.170296,0.4984,124,-4131035.0,-50.320386,reduction,0.3500784,Q1 2019,COMMUNICATIONS,13F,12/31/2021,121.62,102.31
Centerpoint energy inc,CNP,"",26966806.0,752644000.0,0.166646,0.1548,125,-133.0,-0.000493,reduction,4.2843053,Q2 2020,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,21.03,32.4
Hdfc bank ltd adr,HDB,"",11529091.0,750161000.0,0.166097,0.217,126,-1195899.0,-9.398035,reduction,0.6237952,Q1 2014,FINANCE,13F,12/31/2021,20.95,58.91
Tradeweb markets inc,TW,"",7470318.0,748078000.0,0.165635,0.1289,127,630033.0,9.210625,addition,6.9809658,Q1 2021,FINANCE,13F,12/31/2021,80.0504,85.69
Applied materials inc.,AMAT,"",4705680.0,740486000.0,0.163954,0.1284,128,428807.0,10.02618,addition,0.5326815,Q1 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,135.9924,113.36
Coca cola co.,KO,"",12465861.0,738104000.0,0.163427,0.1893,129,-2998310.0,-19.388754,reduction,0.2875635,Q4 2007,CONSUMER STAPLES,13F,12/31/2021,43.32,65.02
Duke energy corp.,DUK,"",6944250.0,728452000.0,0.16129,0.2458,130,-3850384.0,-35.669426,reduction,0.9019684,Q4 2007,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,93.42,114.85
Mongodb inc,MDB,"",1325118.0,701451000.0,0.155311,0.1457,131,306.0,0.023098,addition,1.9612102,Q4 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,131.5019,416.5
Verizon communications (bell atlantic corp.),VZ,"",13381425.0,695299000.0,0.153949,0.1817,132,-1038073.0,-7.199093,reduction,0.3187705,Q4 2007,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,47.06,53.83
United parcel service  inc. class b,UPS,"",3240767.0,694626000.0,0.1538,0.1399,133,-52449.0,-1.592638,reduction,0.4419018,Q4 2018,TRANSPORTS,13F,12/31/2021,105.19,188.02
Conocophillips (phillips petroleum),COP,"",9619233.0,694316000.0,0.153732,0.1744,134,-1410589.0,-12.788865,reduction,0.7402104,Q4 2020,ENERGY,13F,12/31/2021,47.7,101.37
Caterpillar inc.,CAT,"",3227058.0,667162000.0,0.147719,0.1445,135,453.0,0.01404,addition,0.6021888,Q4 2013,INDUSTRIALS,13F,12/31/2021,134.5701,227.81
Topbuild corp,BLD,"",2416443.0,666705000.0,0.147618,0.1157,136,-4360.0,-0.180106,reduction,7.3210959,Q3 2018,INDUSTRIALS,13F,12/31/2021,88.19,170.85
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",3137611.0,654223000.0,0.144855,0.1049,137,1018445.0,48.058765,addition,0.4577235,Q2 2021,INDUSTRIALS,13F,12/31/2021,214.2645,195.19
