Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Microsoft corp.,MSFT,CALL,15889300.0,5343889000.0,1.09164,0.9326,12,-34800.0,-0.218537,reduction,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,279.83
Nvidia corp.,NVDA,PUT,17983700.0,5289186000.0,1.08047,0.6095,13,3821400.0,26.982905,addition,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,212.58
Meta platforms  inc.,FB,CALL,15092500.0,5076362000.0,1.03699,0.9985,14,930800.0,6.572657,addition,N/A,Q2 2012,COMMUNICATIONS,13F,12/31/2021,,210.18
Ishares russell 2000 etf,IWM,PUT,21989900.0,4891653000.0,0.99926,0.9909,15,183800.0,0.842883,addition,No Data,Q1 2014,FINANCE,13F,12/31/2021,,198.96
Alphabet inc. class a,GOOGL,CALL,1664500.0,4822123000.0,0.985056,1.2076,16,-509700.0,-23.443106,reduction,N/A,Q4 2007,COMMUNICATIONS,13F,12/31/2021,,2534.6
Nvidia corp.,NVDA,CALL,15656900.0,4604850000.0,0.940672,0.6238,17,1161500.0,8.012887,addition,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,212.58
Alphabet inc. class c,GOOG,PUT,1438300.0,4161851000.0,0.850177,0.8733,18,-139000.0,-8.812528,reduction,N/A,Q2 2014,COMMUNICATIONS,13F,12/31/2021,,2545.06
Microsoft corp.,MSFT,PUT,12200000.0,4103104000.0,0.838176,0.7962,19,-1394300.0,-10.256505,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,279.83
Ishares russell 2000 etf,IWM,CALL,16036300.0,3567275000.0,0.728718,0.5521,20,3886700.0,31.990354,addition,No Data,Q1 2014,FINANCE,13F,12/31/2021,,198.96
Meta platforms  inc.,FB,PUT,9857400.0,3315536000.0,0.677293,0.5908,21,1477400.0,17.630072,addition,N/A,Q2 2012,COMMUNICATIONS,13F,12/31/2021,,210.18
Advanced micro devices inc,AMD,PUT,21488300.0,3092167000.0,0.631663,0.4192,22,1879100.0,9.582747,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,93.06
Alphabet inc. class c,GOOG,CALL,1039600.0,3008176000.0,0.614506,0.7309,23,-280500.0,-21.24839,reduction,N/A,Q2 2014,COMMUNICATIONS,13F,12/31/2021,,2545.06
Netflix inc,NFLX,PUT,4135100.0,2491150000.0,0.508889,0.5256,24,-9900.0,-0.238842,reduction,N/A,Q1 2008,COMMUNICATIONS,13F,12/31/2021,,341.13
Netflix inc,NFLX,CALL,3332700.0,2007752000.0,0.410141,0.5471,25,-982000.0,-22.759404,reduction,N/A,Q1 2008,COMMUNICATIONS,13F,12/31/2021,,341.13
Ishares iboxx usd high yield corporate bond etf,HYG,PUT,21646200.0,1883436000.0,0.384746,0.2935,26,5498500.0,34.051289,addition,No Data,Q3 2016,FINANCE,13F,12/31/2021,,80.24
Advanced micro devices inc,AMD,CALL,12407900.0,1785497000.0,0.364739,0.276,27,-502800.0,-3.894444,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,93.06
Boeing company,BA,CALL,8534400.0,1718145000.0,0.35098,0.4021,28,-265100.0,-3.012671,reduction,N/A,Q3 2007,INDUSTRIALS,13F,12/31/2021,,181.94
Alibaba group holding ltd adr,BABA,PUT,13999100.0,1662953000.0,0.339706,0.4011,29,956600.0,7.334483,addition,N/A,Q2 2016,COMMUNICATIONS,13F,12/31/2021,,95.49
Alibaba group holding ltd adr,BABA,CALL,13876900.0,1648437000.0,0.33674,0.4138,30,422300.0,3.138703,addition,N/A,Q2 2016,COMMUNICATIONS,13F,12/31/2021,,95.49
Charter communications inc,CHTR,CALL,2318200.0,1511397000.0,0.308746,0.0389,31,2060700.0,800.271845,addition,N/A,Q2 2016,COMMUNICATIONS,13F,12/31/2021,,555.32
Shopify inc,SHOP,PUT,1068100.0,1471190000.0,0.300533,0.336,32,-124700.0,-10.454393,reduction,N/A,Q2 2015,COMMUNICATIONS,13F,12/31/2021,,579.51
Boeing company,BA,PUT,7028100.0,1414897000.0,0.289033,0.3181,33,65100.0,0.934942,addition,N/A,Q3 2007,INDUSTRIALS,13F,12/31/2021,,181.94
Shopify inc,SHOP,CALL,988800.0,1361963000.0,0.27822,0.3169,34,-136300.0,-12.114479,reduction,N/A,Q2 2015,COMMUNICATIONS,13F,12/31/2021,,579.51
Booking holdings inc. (priceline),BKNG,PUT,517600.0,1241841000.0,0.253681,0.2739,35,-37800.0,-6.805906,reduction,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,,2227.29
Paypal holdings inc,PYPL,PUT,6147100.0,1159220000.0,0.236804,0.1988,36,2469400.0,67.145227,addition,N/A,Q3 2015,COMMUNICATIONS,13F,12/31/2021,,102.31
Square inc,SQ,PUT,7074100.0,1142538000.0,0.233396,0.2346,37,2365900.0,50.250627,addition,N/A,Q4 2015,FINANCE,13F,12/31/2021,,121.31
Costco co.,COST,CALL,2011500.0,1141928000.0,0.233271,0.1857,38,21700.0,1.090562,addition,N/A,Q1 2008,CONSUMER STAPLES,13F,12/31/2021,,590.39
Walt disney co. (the),DIS,CALL,7159800.0,1108981000.0,0.226541,0.1284,39,3506100.0,95.960259,addition,N/A,Q1 2008,COMMUNICATIONS,13F,12/31/2021,,130.47
Paypal holdings inc,PYPL,CALL,5798500.0,1093481000.0,0.223375,0.1724,40,2609000.0,81.799655,addition,N/A,Q3 2015,COMMUNICATIONS,13F,12/31/2021,,102.31
Walt disney co. (the),DIS,PUT,6979200.0,1081008000.0,0.220827,0.1787,41,1894100.0,37.248038,addition,N/A,Q3 2007,COMMUNICATIONS,13F,12/31/2021,,130.47
At&t inc. (southwestern bell - sbc corp.),T,"",57988420.92,1077428000.0,0.220095,0.1952,42,11932723.44,25.909332,addition,0.6131676,Q1 2020,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,27.9119,19.54
Visa inc,V,CALL,4908000.0,1063613000.0,0.217273,0.2342,43,-153800.0,-3.038445,reduction,N/A,Q2 2008,FINANCE,13F,12/31/2021,,212.79
Amazon.com inc.,AMZN,"",317175.0,1057570000.0,0.216039,0.0566,44,234169.0,282.110932,addition,0.0623324,Q2 2009,CONSUMER DISCRETIONARY,13F,12/31/2021,3262.7168,3034.13
Broadcom ltd. (avago technologies),AVGO,PUT,1572300.0,1046224000.0,0.213721,0.1181,45,400200.0,34.143844,addition,N/A,Q2 2010,INFORMATION TECHNOLOGY,13F,12/31/2021,,573.85
Adobe systems  inc.,ADBE,PUT,1812800.0,1027967000.0,0.209992,0.2154,46,11600.0,0.644015,addition,N/A,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,420.44
Ssga spdr gold shares,GLD,CALL,5872600.0,1003980000.0,0.205092,0.1758,47,720400.0,13.982376,addition,No Data,Q1 2014,MATERIALS,13F,12/31/2021,,184.04
Moderna inc,MRNA,CALL,3760700.0,955143000.0,0.195115,0.2334,48,841900.0,28.844045,addition,N/A,Q1 2019,HEALTH CARE,13F,12/31/2021,,165.49
Booking holdings inc. (priceline),BKNG,CALL,391200.0,938579000.0,0.191732,0.1927,49,500.0,0.127975,addition,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,,2227.29
Financial select sector spdr,XLF,PUT,23972800.0,936138000.0,0.191233,0.1659,50,2698900.0,12.686437,addition,No Data,Q1 2014,FINANCE,13F,12/31/2021,,36.89
Chipotle mexican grill  inc.,CMG,PUT,523800.0,915733000.0,0.187065,0.2901,51,-244400.0,-31.814632,reduction,N/A,Q4 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,,1603.17
Costco co.,COST,PUT,1586700.0,900770000.0,0.184008,0.128,52,215900.0,15.749927,addition,N/A,Q3 2007,CONSUMER STAPLES,13F,12/31/2021,,590.39
Berkshire hathaway inc class b,BRK.B,PUT,2997300.0,896193000.0,0.183073,0.1774,53,-130600.0,-4.175325,reduction,N/A,Q3 2009,FINANCE,13F,12/31/2021,,344.33
Chipotle mexican grill  inc.,CMG,CALL,501200.0,876223000.0,0.178994,0.2738,54,-223900.0,-30.8785,reduction,N/A,Q3 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,,1603.17
Salesforce.com inc.,CRM,PUT,3416864.0,868327000.0,0.177381,0.2117,55,-340234.0,-9.055766,reduction,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,189.41
Meta platforms  inc.,FB,"",2423177.0,815036000.0,0.166494,0.0859,56,1205486.0,98.997693,addition,0.1049412,Q2 2012,COMMUNICATIONS,13F,12/31/2021,300.0732,210.18
Roku inc,ROKU,CALL,3485900.0,795482000.0,0.1625,0.2054,57,331000.0,10.491616,addition,N/A,Q4 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,,111.36
Intel corp.,INTC,PUT,15234000.0,784551000.0,0.160267,0.118,58,4574100.0,42.909408,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,45.67
Moderna inc,MRNA,PUT,3065300.0,778525000.0,0.159036,0.2294,59,196000.0,6.830934,addition,N/A,Q1 2019,HEALTH CARE,13F,12/31/2021,,165.49
Ishares 20+ year treasury bond etf,TLT,PUT,5243300.0,777005000.0,0.158725,0.2173,60,-2005200.0,-27.663655,reduction,No Data,Q3 2016,FINANCE,13F,12/31/2021,,120.75
Adobe systems  inc.,ADBE,CALL,1344800.0,762582000.0,0.155779,0.1699,61,-75900.0,-5.342437,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,420.44
Pfizer  inc.,PFE,CALL,12908400.0,762241000.0,0.155709,0.0522,62,7067400.0,120.996405,addition,N/A,Q1 2008,HEALTH CARE,13F,12/31/2021,,53.12
Square inc,SQ,CALL,4656600.0,752087000.0,0.153635,0.1714,63,1217400.0,35.397767,addition,N/A,Q4 2015,FINANCE,13F,12/31/2021,,121.31
Johnson & johnson co.,JNJ,CALL,4360200.0,745899000.0,0.152371,0.1315,64,441300.0,11.260813,addition,N/A,Q1 2008,HEALTH CARE,13F,12/31/2021,,179.9
Qualcomm inc.,QCOM,PUT,4066900.0,743714000.0,0.151925,0.1044,65,170000.0,4.362442,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,136.91
Roku inc,ROKU,PUT,3207600.0,731974000.0,0.149527,0.2136,66,-74200.0,-2.260954,reduction,N/A,Q4 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,,111.36
Home depot  inc. (the),HD,PUT,1738200.0,721370000.0,0.14736,0.1297,67,-163600.0,-8.602377,reduction,N/A,Q3 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,,304.52
Berkshire hathaway inc class b,BRK.B,CALL,2357400.0,704863000.0,0.143988,0.1844,68,-894600.0,-27.509225,reduction,N/A,Q3 2009,FINANCE,13F,12/31/2021,,344.33
Financial select sector spdr,XLF,CALL,18021400.0,703736000.0,0.143758,0.1089,69,4051700.0,29.003486,addition,No Data,Q1 2014,FINANCE,13F,12/31/2021,,36.89
Palo alto networks inc,PANW,PUT,1253200.0,697732000.0,0.142532,0.1182,70,65700.0,5.532632,addition,N/A,Q4 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,,626.78
Nvidia corp.,NVDA,"",2371666.0,697531000.0,0.142491,0.0653,71,854349.0,56.30656,addition,0.0944887,Q1 2006,INFORMATION TECHNOLOGY,13F,12/31/2021,227.2414,212.58
Nio inc,NIO,PUT,21999800.0,696954000.0,0.142373,0.1736,72,-1449800.0,-6.182621,reduction,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,12/31/2021,,19.65
Salesforce.com inc.,CRM,CALL,2727447.0,693126000.0,0.141591,0.2424,73,-1574475.0,-36.599339,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,189.41
Citigroup  inc.,C,PUT,11342400.0,684968000.0,0.139924,0.1276,74,2593000.0,29.636318,addition,N/A,Q3 2007,FINANCE,13F,12/31/2021,,50.93
Palo alto networks inc,PANW,CALL,1224100.0,681530000.0,0.139222,0.1202,75,16300.0,1.349561,addition,N/A,Q4 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,,626.78
Mercadolibre inc,MELI,PUT,502200.0,677167000.0,0.138331,0.1498,76,72700.0,16.926659,addition,N/A,Q1 2008,COMMUNICATIONS,13F,12/31/2021,,1060.34
Alphabet inc. class a,GOOGL,"",232758.0,674309000.0,0.137747,0.0797,77,89241.0,62.181484,addition,0.0773913,Q3 2004,COMMUNICATIONS,13F,12/31/2021,2495.1261,2534.6
Qualcomm inc.,QCOM,CALL,3675200.0,672083000.0,0.137292,0.1041,78,-209300.0,-5.388081,reduction,N/A,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,136.91
Micron technology  inc.,MU,CALL,7097700.0,661151000.0,0.135059,0.1158,79,-758700.0,-9.657095,reduction,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,70.13
Plug power inc note 3.750% 6/0,DEBT-PLUG,PRN,116805000.0,657125000.0,0.134237,0.0892,80,32685000.0,38.855207,addition,N/A,Q2 2021, ,13F,12/31/2021,,
Visa inc,V,PUT,3022700.0,655049000.0,0.133812,0.1613,81,-462800.0,-13.277865,reduction,N/A,Q2 2008,FINANCE,13F,12/31/2021,,212.79
Ishares 20+ year treasury bond etf,TLT,CALL,4412500.0,653888000.0,0.133575,0.1896,82,-1911200.0,-30.222813,reduction,No Data,Q3 2016,FINANCE,13F,12/31/2021,,120.75
Mercadolibre inc,MELI,CALL,469500.0,633074000.0,0.129323,0.0997,83,183600.0,64.218258,addition,N/A,Q1 2008,COMMUNICATIONS,13F,12/31/2021,,1060.34
Coca cola co.,KO,"",10685567.0,632692000.0,0.129245,0.0974,84,1749730.0,19.581042,addition,0.2464955,Q2 2017,CONSUMER STAPLES,13F,12/31/2021,53.5151,65.02
Uber technologies inc,UBER,"",14908906.0,625131000.0,0.127701,0.0547,85,9032457.0,153.706039,addition,0.8011638,Q2 2019,CONSUMER DISCRETIONARY,13F,12/31/2021,45.3473,32.68
Mastercard inc,MA,CALL,1663400.0,597693000.0,0.122096,0.1789,86,-813400.0,-32.840762,reduction,N/A,Q1 2008,FINANCE,13F,12/31/2021,,357.82
Mastercard inc,MA,PUT,1651100.0,593273000.0,0.121193,0.178,87,-813500.0,-33.007385,reduction,N/A,Q3 2007,FINANCE,13F,12/31/2021,,357.82
Spdr dow jones industrial average etf trust,DIA,PUT,1616200.0,587198000.0,0.119952,0.1875,88,-1051600.0,-39.418247,reduction,No Data,Q1 2014,FINANCE,13F,12/31/2021,,344.29
Ssga spdr gold shares,GLD,PUT,3408700.0,582751000.0,0.119044,0.1095,89,199000.0,6.199956,addition,No Data,Q1 2014,MATERIALS,13F,12/31/2021,,184.04
Goldman sachs group inc,GS,PUT,1519000.0,581093000.0,0.118705,0.1414,90,-281700.0,-15.643916,reduction,N/A,Q3 2007,FINANCE,13F,12/31/2021,,321.64
Snap inc class a,SNAP,PUT,12243600.0,575817000.0,0.117627,0.1419,91,2999200.0,32.443425,addition,N/A,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,,33.19
Netflix inc,NFLX,"",954283.0,574898000.0,0.117439,0.1023,92,147448.0,18.274864,addition,0.2160013,Q3 2007,COMMUNICATIONS,13F,12/31/2021,535.3082,341.13
Micron technology  inc.,MU,PUT,5962700.0,555425000.0,0.113461,0.1116,93,-1606600.0,-21.225212,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,70.13
Coinbase global inc,COIN,PUT,2171300.0,547971000.0,0.111939,0.1056,94,-63900.0,-2.858805,reduction,N/A,Q2 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,,147.29
Ihs markit ltd,INFO,"",4023668.0,534826000.0,0.109253,0.0931,95,179283.0,4.663503,addition,N/A,Q2 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,94.4157,
International business machines corp.,IBM,CALL,4001100.0,534787000.0,0.109246,0.1423,96,-929400.0,-18.850015,reduction,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,126.56
Home depot  inc. (the),HD,CALL,1282100.0,532084000.0,0.108693,0.1154,97,-410300.0,-24.243678,reduction,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,,304.52
Goldman sachs group inc,GS,CALL,1376000.0,526389000.0,0.10753,0.137,98,-368500.0,-21.123531,reduction,N/A,Q4 2007,FINANCE,13F,12/31/2021,,321.64
Intel corp.,INTC,CALL,10178500.0,524193000.0,0.107081,0.1274,99,-1330500.0,-11.560518,reduction,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,45.67
Ford motor co.,F,PUT,25073400.0,520775000.0,0.106383,0.0629,100,3705900.0,17.343629,addition,N/A,Q3 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,,15.48
Bank of america corp. (north carolina national bank),BAC,PUT,11698400.0,520462000.0,0.106319,0.0921,101,1253800.0,12.004289,addition,N/A,Q3 2007,FINANCE,13F,12/31/2021,,37.57
Jpmorgan chase & co. (chemical bank),JPM,CALL,3274200.0,518470000.0,0.105912,0.1585,102,-1386100.0,-29.74272,reduction,N/A,Q1 2008,FINANCE,13F,12/31/2021,,126.12
Jpmorgan chase & co. (chemical bank),JPM,PUT,3256100.0,515603000.0,0.105327,0.1352,103,-720200.0,-18.112315,reduction,N/A,Q3 2007,FINANCE,13F,12/31/2021,,126.12
Microsoft corp.,MSFT,"",1526338.0,513338000.0,0.104864,0.1425,104,-907273.0,-37.280938,reduction,0.0203597,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,271.35,279.83
Nike inc.,NKE,CALL,3068200.0,511377000.0,0.104463,0.1008,105,-272600.0,-8.159722,reduction,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,,133.46
Coinbase global inc,COIN,CALL,2017100.0,509056000.0,0.103989,0.092,106,71100.0,3.653649,addition,N/A,Q2 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,,147.29
Autozone inc.,AZO,PUT,242400.0,508165000.0,0.103807,0.0444,107,116400.0,92.380952,addition,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,,2164.6
Baidu inc adr,BIDU,PUT,3354400.0,499101000.0,0.101956,0.1442,108,-1159300.0,-25.684029,reduction,N/A,Q2 2016,COMMUNICATIONS,13F,12/31/2021,,129.56
Lockheed martin corp.,LMT,CALL,1399400.0,497361000.0,0.1016,0.097,109,46600.0,3.444707,addition,N/A,Q1 2008,INDUSTRIALS,13F,12/31/2021,,467.66
Zoom video communications inc,ZM,CALL,2700300.0,496612000.0,0.101447,0.1581,110,-209500.0,-7.199808,reduction,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,,110.31
Sea ltd adr,SE,PUT,2210600.0,494533000.0,0.101022,0.1659,111,-294500.0,-11.756018,reduction,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,,108.58
General motors co,GM,PUT,8328500.0,488300000.0,0.0997492,0.1243,112,-3025100.0,-26.644412,reduction,N/A,Q4 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,,40.13
Spdr s&p regional banking etf,KRE,CALL,6884800.0,487789000.0,0.0996448,0.0301,113,4748300.0,222.246665,addition,No Data,Q3 2016,FINANCE,13F,12/31/2021,,64.69
Sea ltd note 2.375%12/0,DEBT-SEA,PRN,190272000.0,487197000.0,0.0995239,0.0954,114,60945000.0,47.12473,addition,N/A,Q2 2021, ,13F,12/31/2021,,
Cisco systems  inc.,CSCO,CALL,7664400.0,485693000.0,0.0992167,0.0725,115,1251900.0,19.522807,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,51.17
Bank of america corp. (north carolina national bank),BAC,CALL,10908200.0,485306000.0,0.0991376,0.1046,116,-954600.0,-8.047004,reduction,N/A,Q3 2007,FINANCE,13F,12/31/2021,,37.57
Taiwan semiconductor manufacturing co ltd adr,TSM,PUT,3986300.0,479591000.0,0.0979702,0.0933,117,-36500.0,-0.907328,reduction,N/A,Q2 2016,INFORMATION TECHNOLOGY,13F,12/31/2021,,98.36
Asml holding nv (adr),ASML,PUT,596000.0,474499000.0,0.09693,0.1318,118,-255400.0,-29.997651,reduction,N/A,Q2 2016,INFORMATION TECHNOLOGY,13F,12/31/2021,,597.87
Cisco systems  inc.,CSCO,PUT,7481700.0,474115000.0,0.0968515,0.0908,119,-548900.0,-6.835106,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,51.17
Crowdstrike holdings inc,CRWD,PUT,2296800.0,470270000.0,0.0960661,0.1268,120,-187100.0,-7.532509,reduction,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,,235.22
Servicenow inc,NOW,CALL,722400.0,468917000.0,0.0957897,0.0912,121,16800.0,2.380952,addition,N/A,Q4 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,,507.33
Marvell technology group ltd,MRVL,"",5330320.0,466349000.0,0.0952651,0.0311,122,2847737.0,114.708632,addition,0.6287238,Q1 2004,INFORMATION TECHNOLOGY,13F,12/31/2021,68.0823,60.97
Pfizer  inc.,PFE,PUT,7883200.0,465503000.0,0.0950923,0.0944,123,-2684800.0,-25.404996,reduction,N/A,Q3 2007,HEALTH CARE,13F,12/31/2021,,53.12
Zoom video communications inc,ZM,PUT,2518100.0,463104000.0,0.0946022,0.1954,124,-1078500.0,-29.986654,reduction,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,,110.31
Applied materials inc.,AMAT,PUT,2934400.0,461758000.0,0.0943273,0.0891,125,-395500.0,-11.877234,reduction,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,113.36
Lam research corp.,LRCX,PUT,642000.0,461694000.0,0.0943142,0.0764,126,-4200.0,-0.649954,reduction,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,12/31/2021,,456.16
Zscaler inc,ZS,PUT,1436300.0,461526000.0,0.0942799,0.0719,127,115500.0,8.7447,addition,N/A,Q2 2018,INFORMATION TECHNOLOGY,13F,12/31/2021,,230.84
Walmart inc,WMT,CALL,3172300.0,459000000.0,0.0937639,0.1073,128,-531900.0,-14.359376,reduction,N/A,Q1 2008,CONSUMER STAPLES,13F,12/31/2021,,157.08
Proshares ultrapro qqq,TQQQ,PUT,5513200.0,458505000.0,0.0936627,0.064,129,568000.0,11.485885,addition,No Data,Q3 2016,FINANCE,13F,12/31/2021,,47.0
Pepsico inc. (loft  inc.),PEP,PUT,2606400.0,452758000.0,0.0924888,0.0667,130,472500.0,22.142556,addition,N/A,Q1 2008,CONSUMER STAPLES,13F,12/31/2021,,171.9
Uber technologies inc,UBER,PUT,10789900.0,452420000.0,0.0924197,0.1057,131,-562300.0,-4.953225,reduction,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,12/31/2021,,32.68
Consumer discretionary select sector spdr,XLY,PUT,2196500.0,449052000.0,0.0917317,0.0755,132,172000.0,8.495925,addition,No Data,Q1 2014,FINANCE,13F,12/31/2021,,178.4
Chevron corp. (standard oil of california),CVX,PUT,3817189.0,447947000.0,0.091506,0.0566,133,1131706.0,42.141618,addition,N/A,Q4 2007,ENERGY,13F,12/31/2021,,171.59
Broadcom ltd. (avago technologies),AVGO,CALL,663300.0,441367000.0,0.0901618,0.0799,134,-129900.0,-16.376702,reduction,N/A,Q2 2010,INFORMATION TECHNOLOGY,13F,12/31/2021,,573.85
Walmart inc,WMT,PUT,3035900.0,439264000.0,0.0897322,0.0907,135,-96800.0,-3.089986,reduction,N/A,Q3 2007,CONSUMER STAPLES,13F,12/31/2021,,157.08
The energy select sector spdr fund,XLE,CALL,7911200.0,439072000.0,0.089693,0.1267,136,-3800100.0,-32.448148,reduction,No Data,Q1 2014,ENERGY,13F,12/31/2021,,79.85
Ishares msci emerging markets etf,EEM,"",8985510.0,438942000.0,0.0896664,0.0024,137,8753409.0,3771.37927,addition,No Data,Q3 2021,FINANCE,13F,12/31/2021,48.8895,44.23
Spdr oil & gas exploration and production etf,XOP,PUT,4550325.0,436240000.0,0.0891145,0.094,138,-127275.0,-2.720947,reduction,No Data,Q3 2016,ENERGY,13F,12/31/2021,,142.93
Citigroup  inc.,C,CALL,7138800.0,431112000.0,0.0880669,0.0722,139,2188500.0,44.209442,addition,N/A,Q3 2007,FINANCE,13F,12/31/2021,,50.93
Danaher corp.,DHR,"",1309735.0,430916000.0,0.0880269,0.0629,140,315277.0,31.7034,addition,0.1830894,Q2 2020,HEALTH CARE,13F,12/31/2021,256.6884,276.98
Intuitive surgical inc,ISRG,PUT,1189100.0,427244000.0,0.0872768,0.0954,141,-196900.0,-14.206349,reduction,N/A,Q3 2007,HEALTH CARE,13F,12/31/2021,,279.7
Baidu inc adr,BIDU,CALL,2868000.0,426730000.0,0.0871718,0.1053,142,-430200.0,-13.043478,reduction,N/A,Q2 2016,COMMUNICATIONS,13F,12/31/2021,,129.56
S&p global inc. (mcgraw-hill inc.),SPGI,"",899896.0,424688000.0,0.0867546,0.0888,143,-106134.0,-10.549785,reduction,0.2593159,Q4 2020,COMMUNICATIONS,13F,12/31/2021,354.57,387.59
